Benchmark,#TotalOC,,LS-Sampling-alt1 (k=100),,,LS-Sampling-alt1 (k=1000),,,LS-Sampling-alt2 (k=100),,,LS-Sampling-alt2 (k=1000),,,LS-Sampling-alt3 (k=100),,,LS-Sampling-alt3 (k=1000),,,LS-Sampling (k=100),,,LS-Sampling (k=1000),
,,,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%)
pc_i82544,"2,328,925,905",,"2,252,312,273.10",96.71,,"2,314,434,891.15",99.38,,"2,187,106,314.50",93.91,,"2,267,600,980.20",97.37,,"2,252,582,630.35",96.72,,"2,315,037,712.35",99.4,,"2,281,128,643.50",97.95,,"2,325,798,151.35",99.87
pc_i82559,"2,328,925,905",,"2,254,454,200.55",96.8,,"2,314,497,111.50",99.38,,"2,181,433,634.70",93.67,,"2,268,673,622.30",97.41,,"2,256,133,534.05",96.87,,"2,315,607,778.00",99.43,,"2,281,118,000.85",97.95,,"2,325,716,771.20",99.86
pc_rltk8139,"2,351,352,372",,"2,277,304,145.05",96.85,,"2,338,138,139.40",99.44,,"2,198,644,491.10",93.51,,"2,288,285,076.60",97.32,,"2,273,231,628.15",96.68,,"2,336,805,982.95",99.38,,"2,300,087,875.00",97.82,,"2,347,920,453.10",99.85
pc_usb_d12,"2,423,516,225",,"2,344,837,285.20",96.75,,"2,408,756,379.55",99.39,,"2,276,599,379.05",93.94,,"2,360,616,860.45",97.4,,"2,354,178,740.15",97.14,,"2,410,339,133.10",99.46,,"2,378,018,378.00",98.12,,"2,420,421,323.80",99.87
pc_vmWare,"2,308,780,851",,"2,234,856,234.70",96.8,,"2,295,212,951.30",99.41,,"2,161,750,732.30",93.63,,"2,247,084,171.55",97.33,,"2,233,042,652.20",96.72,,"2,295,735,097.10",99.43,,"2,262,594,596.75",98,,"2,305,707,353.15",99.87
phycore,"2,366,208,638",,"2,279,763,967.10",96.35,,"2,349,499,593.10",99.29,,"2,218,471,080.60",93.76,,"2,300,359,533.60",97.22,,"2,266,864,233.80",95.8,,"2,339,680,486.40",98.88,,"2,321,830,914.85",98.12,,"2,363,307,053.45",99.88
phycore229x,"2,786,022,872",,"2,678,090,197.10",96.13,,"2,759,660,640.70",99.05,,"2,611,455,909.20",93.73,,"2,712,920,664.20",97.38,,"2,677,996,092.15",96.12,,"2,755,892,420.80",98.92,,"2,731,415,594.35",98.04,,"2,782,419,398.75",99.87
picasso,"2,227,486,594",,"2,156,981,910.95",96.83,,"2,215,420,967.30",99.46,,"2,090,264,970.20",93.84,,"2,166,595,854.95",97.27,,"2,165,268,060.60",97.21,,"2,217,364,905.05",99.55,,"2,185,027,592.95",98.09,,"2,224,825,035.45",99.88
pid,"2,109,165,647",,"2,042,292,555.30",96.83,,"2,097,795,102.40",99.46,,"1,983,494,570.90",94.04,,"2,050,557,626.15",97.22,,"2,049,324,742.15",97.16,,"2,098,840,497.90",99.51,,"2,070,344,384.45",98.16,,"2,106,671,977.25",99.88
prpmc1100,"2,082,469,690",,"2,019,906,508.55",97,,"2,071,917,091.60",99.49,,"1,955,605,062.70",93.91,,"2,023,530,415.25",97.17,,"2,025,940,382.10",97.29,,"2,072,839,392.10",99.54,,"2,045,288,010.85",98.21,,"2,080,124,108.85",99.89
