Benchmark,#TotalOC,,"LS-Sampling (k=100, lambda=10)",,,,"LS-Sampling (k=1000, lambda=10)",,,,"LS-Sampling (k=100, lambda=50)",,,,"LS-Sampling (k=1000, lambda=50)",,,,"LS-Sampling (k=100, lambda=100)",,,,"LS-Sampling (k=1000, lambda=100)",,,,"LS-Sampling (k=100, lambda=500)",,,,"LS-Sampling (k=1000, lambda=500)",,,,"LS-Sampling (k=100, lambda=1000)",,,,"LS-Sampling (k=1000, lambda=1000)",
,,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%)
moab,"3,061,614",,"3,047,719.85",99.55,,,"3,060,072.45",99.95,,,"3,053,355.25",99.73,,,"3,061,068.60",99.98,,,"3,055,049.30",99.79,,,"3,061,300.05",99.99,,,"3,057,642.85",99.87,,,"3,061,537.75",100,,,"3,058,365.65",99.89,,,"3,061,566.05",100
mpc50,"2,719,748",,"2,711,161.50",99.68,,,"2,718,738.40",99.96,,,"2,714,918.65",99.82,,,"2,719,478.00",99.99,,,"2,715,982.80",99.86,,,"2,719,589.90",99.99,,,"2,717,523.55",99.92,,,"2,719,706.30",100,,,"2,718,017.40",99.94,,,"2,719,724.25",100
nano,"3,016,264",,"3,004,275.15",99.6,,,"3,015,054.10",99.96,,,"3,009,061.90",99.76,,,"3,015,839.50",99.99,,,"3,010,390.70",99.81,,,"3,016,028.50",99.99,,,"3,012,732.25",99.88,,,"3,016,203.25",100,,,"3,013,406.25",99.91,,,"3,016,221.65",100
npwr,"2,960,866",,"2,949,955.50",99.63,,,"2,959,604.30",99.96,,,"2,954,605.90",99.79,,,"2,960,451.60",99.99,,,"2,956,029.50",99.84,,,"2,960,636.00",99.99,,,"2,958,000.35",99.9,,,"2,960,806.70",100,,,"2,958,502.60",99.92,,,"2,960,826.95",100
ocelot,"2,986,129",,"2,974,886.55",99.62,,,"2,984,835.35",99.96,,,"2,979,678.85",99.78,,,"2,985,661.55",99.98,,,"2,981,106.75",99.83,,,"2,985,886.40",99.99,,,"2,982,981.10",99.89,,,"2,986,065.15",100,,,"2,983,610.75",99.92,,,"2,986,092.05",100
olpce2294,"3,037,775",,"3,026,117.75",99.62,,,"3,036,504.60",99.96,,,"3,031,132.40",99.78,,,"3,037,396.95",99.99,,,"3,032,389.40",99.82,,,"3,037,596.25",99.99,,,"3,034,574.80",99.89,,,"3,037,718.65",100,,,"3,035,205.75",99.92,,,"3,037,741.25",100
olpch2294,"2,945,759",,"2,935,578.60",99.65,,,"2,944,734.15",99.97,,,"2,940,147.60",99.81,,,"2,945,439.05",99.99,,,"2,941,447.20",99.85,,,"2,945,596.70",99.99,,,"2,943,300.30",99.92,,,"2,945,706.15",100,,,"2,943,741.60",99.93,,,"2,945,729.90",100
olpcl2294,"3,033,027",,"3,021,868.90",99.63,,,"3,031,916.25",99.96,,,"3,026,251.75",99.78,,,"3,032,656.50",99.99,,,"3,027,799.15",99.83,,,"3,032,830.85",99.99,,,"3,029,891.90",99.9,,,"3,032,977.70",100,,,"3,030,427.35",99.91,,,"3,032,996.40",100
p2106,"2,887,921",,"2,878,434.05",99.67,,,"2,886,941.95",99.97,,,"2,882,464.70",99.81,,,"2,887,630.25",99.99,,,"2,883,742.40",99.86,,,"2,887,778.30",100,,,"2,885,569.15",99.92,,,"2,887,877.75",100,,,"2,886,002.00",99.93,,,"2,887,894.25",100
pati,"2,901,007",,"2,890,769.70",99.65,,,"2,899,873.20",99.96,,,"2,895,291.00",99.8,,,"2,900,700.20",99.99,,,"2,896,516.40",99.85,,,"2,900,847.25",99.99,,,"2,898,494.30",99.91,,,"2,900,962.00",100,,,"2,898,866.35",99.93,,,"2,900,983.20",100
pc_i82544,"2,977,432",,"2,965,602.00",99.6,,,"2,976,162.40",99.96,,,"2,970,413.55",99.76,,,"2,977,014.20",99.99,,,"2,971,954.45",99.82,,,"2,977,215.70",99.99,,,"2,974,159.35",99.89,,,"2,977,375.25",100,,,"2,974,769.50",99.91,,,"2,977,387.15",100
pc_i82559,"2,977,432",,"2,965,373.00",99.59,,,"2,976,197.50",99.96,,,"2,970,534.15",99.77,,,"2,977,041.00",99.99,,,"2,972,040.40",99.82,,,"2,977,198.80",99.99,,,"2,974,022.35",99.89,,,"2,977,371.60",100,,,"2,974,744.50",99.91,,,"2,977,390.35",100
pc_rltk8139,"2,997,551",,"2,985,210.75",99.59,,,"2,996,266.55",99.96,,,"2,990,216.70",99.76,,,"2,997,164.15",99.99,,,"2,991,355.05",99.79,,,"2,997,312.80",99.99,,,"2,993,820.30",99.88,,,"2,997,486.45",100,,,"2,994,464.55",99.9,,,"2,997,503.55",100
pc_usb_d12,"3,054,130",,"3,042,875.05",99.63,,,"3,052,815.15",99.96,,,"3,047,906.70",99.8,,,"3,053,664.50",99.98,,,"3,049,156.40",99.84,,,"3,053,871.85",99.99,,,"3,051,075.75",99.9,,,"3,054,058.50",100,,,"3,051,695.00",99.92,,,"3,054,078.50",100
pc_vmWare,"2,959,321",,"2,948,282.75",99.63,,,"2,958,145.00",99.96,,,"2,952,887.05",99.78,,,"2,958,919.35",99.99,,,"2,954,006.45",99.82,,,"2,959,083.10",99.99,,,"2,956,207.30",99.89,,,"2,959,263.25",100,,,"2,956,720.05",99.91,,,"2,959,276.15",100
phycore,"3,008,140",,"2,997,860.25",99.66,,,"3,006,943.30",99.96,,,"3,001,971.10",99.79,,,"3,007,804.75",99.99,,,"3,003,326.80",99.84,,,"3,007,907.65",99.99,,,"3,005,366.50",99.91,,,"3,008,089.15",100,,,"3,005,896.50",99.93,,,"3,008,103.30",100
phycore229x,"3,353,009",,"3,340,365.50",99.62,,,"3,351,619.75",99.96,,,"3,345,761.35",99.78,,,"3,352,540.95",99.99,,,"3,347,059.70",99.82,,,"3,352,752.50",99.99,,,"3,349,450.70",99.89,,,"3,352,945.70",100,,,"3,350,157.75",99.91,,,"3,352,972.15",100
picasso,"2,888,912",,"2,878,668.80",99.65,,,"2,887,680.40",99.96,,,"2,883,236.10",99.8,,,"2,888,551.80",99.99,,,"2,884,288.45",99.84,,,"2,888,711.65",99.99,,,"2,886,187.80",99.91,,,"2,888,858.35",100,,,"2,886,669.20",99.92,,,"2,888,878.00",100
pid,"2,787,898",,"2,778,411.70",99.66,,,"2,786,805.65",99.96,,,"2,782,446.55",99.8,,,"2,787,578.65",99.99,,,"2,783,639.60",99.85,,,"2,787,720.10",99.99,,,"2,785,500.95",99.91,,,"2,787,849.85",100,,,"2,786,013.50",99.93,,,"2,787,870.70",100
prpmc1100,"2,763,534",,"2,754,742.25",99.68,,,"2,762,542.35",99.96,,,"2,758,381.65",99.81,,,"2,763,217.35",99.99,,,"2,759,533.35",99.86,,,"2,763,351.25",99.99,,,"2,761,264.05",99.92,,,"2,763,488.65",100,,,"2,761,702.00",99.93,,,"2,763,501.65",100
psim,"2,591,638",,"2,583,410.65",99.68,,,"2,590,758.30",99.97,,,"2,586,920.25",99.82,,,"2,591,354.40",99.99,,,"2,587,843.75",99.85,,,"2,591,490.35",99.99,,,"2,589,599.05",99.92,,,"2,591,599.65",100,,,"2,589,978.50",99.94,,,"2,591,615.75",100
rattler,"3,269,503",,"3,255,211.00",99.56,,,"3,268,000.40",99.95,,,"3,261,270.05",99.75,,,"3,268,985.75",99.98,,,"3,262,843.15",99.8,,,"3,269,217.25",99.99,,,"3,265,323.85",99.87,,,"3,269,429.00",100,,,"3,266,024.50",99.89,,,"3,269,457.05",100
ref4955,"2,752,784",,"2,743,246.90",99.65,,,"2,751,764.40",99.96,,,"2,747,393.45",99.8,,,"2,752,515.30",99.99,,,"2,748,780.20",99.85,,,"2,752,618.70",99.99,,,"2,750,446.25",99.92,,,"2,752,739.10",100,,,"2,750,894.25",99.93,,,"2,752,753.90",100
refidt334,"3,022,264",,"3,009,481.00",99.58,,,"3,020,879.90",99.95,,,"3,015,060.85",99.76,,,"3,021,767.75",99.98,,,"3,016,248.75",99.8,,,"3,022,026.05",99.99,,,"3,018,438.35",99.87,,,"3,022,193.95",100,,,"3,019,272.30",99.9,,,"3,022,221.10",100
sa1100mm,"2,760,267",,"2,750,894.60",99.66,,,"2,759,272.45",99.96,,,"2,755,069.05",99.81,,,"2,759,975.05",99.99,,,"2,756,269.95",99.86,,,"2,760,107.05",99.99,,,"2,757,975.35",99.92,,,"2,760,229.65",100,,,"2,758,406.35",99.93,,,"2,760,238.65",100
sam7ex256,"3,251,255",,"3,239,291.20",99.63,,,"3,249,968.45",99.96,,,"3,244,214.95",99.78,,,"3,250,869.70",99.99,,,"3,245,580.15",99.83,,,"3,251,035.65",99.99,,,"3,247,788.95",99.89,,,"3,251,192.55",100,,,"3,248,463.90",99.91,,,"3,251,219.60",100
se7751,"3,113,003",,"3,099,290.90",99.56,,,"3,111,732.35",99.96,,,"3,105,045.15",99.74,,,"3,112,630.60",99.99,,,"3,106,637.75",99.8,,,"3,112,805.55",99.99,,,"3,109,125.35",99.88,,,"3,112,947.80",100,,,"3,109,724.15",99.89,,,"3,112,972.80",100
sh4_202_md,"2,953,597",,"2,940,930.65",99.57,,,"2,952,509.15",99.96,,,"2,946,236.85",99.75,,,"2,953,280.75",99.99,,,"2,947,742.85",99.8,,,"2,953,414.85",99.99,,,"2,950,003.80",99.88,,,"2,953,549.35",100,,,"2,950,661.85",99.9,,,"2,953,572.85",100
sh7708,"2,900,913",,"2,889,368.55",99.6,,,"2,900,009.30",99.97,,,"2,893,904.85",99.76,,,"2,900,639.00",99.99,,,"2,895,353.30",99.81,,,"2,900,774.00",100,,,"2,897,597.75",99.89,,,"2,900,878.25",100,,,"2,898,205.55",99.91,,,"2,900,890.25",100
skmb91302,"2,755,776",,"2,745,450.15",99.63,,,"2,754,746.30",99.96,,,"2,750,216.45",99.8,,,"2,755,438.65",99.99,,,"2,751,455.30",99.84,,,"2,755,572.55",99.99,,,"2,753,272.80",99.91,,,"2,755,722.00",100,,,"2,753,790.00",99.93,,,"2,755,751.85",100
sleb,"2,624,832",,"2,616,306.80",99.68,,,"2,623,842.35",99.96,,,"2,619,900.90",99.81,,,"2,624,528.25",99.99,,,"2,621,030.75",99.86,,,"2,624,687.20",99.99,,,"2,622,711.40",99.92,,,"2,624,790.45",100,,,"2,623,156.85",99.94,,,"2,624,804.90",100
smdk2410,"2,963,036",,"2,949,719.20",99.55,,,"2,961,854.10",99.96,,,"2,955,314.65",99.74,,,"2,962,703.45",99.99,,,"2,956,790.10",99.79,,,"2,962,833.95",99.99,,,"2,959,158.65",99.87,,,"2,962,981.25",100,,,"2,959,868.30",99.89,,,"2,963,008.85",100
snds,"2,757,180",,"2,747,615.80",99.65,,,"2,756,197.50",99.96,,,"2,751,517.75",99.79,,,"2,756,919.00",99.99,,,"2,752,902.80",99.84,,,"2,757,031.20",99.99,,,"2,754,660.30",99.91,,,"2,757,135.40",100,,,"2,755,168.05",99.93,,,"2,757,151.60",100
sparc_erc32,"2,534,598",,"2,526,430.45",99.68,,,"2,533,748.40",99.97,,,"2,529,912.60",99.82,,,"2,534,361.25",99.99,,,"2,531,120.60",99.86,,,"2,534,469.95",99.99,,,"2,532,610.20",99.92,,,"2,534,560.70",100,,,"2,532,969.25",99.94,,,"2,534,576.40",100
sparc_leon,"2,534,598",,"2,526,362.05",99.68,,,"2,533,690.60",99.96,,,"2,529,980.30",99.82,,,"2,534,331.25",99.99,,,"2,530,929.20",99.86,,,"2,534,462.55",99.99,,,"2,532,579.00",99.92,,,"2,534,552.95",100,,,"2,532,989.40",99.94,,,"2,534,578.35",100
sparclite_sim,"2,534,598",,"2,526,521.70",99.68,,,"2,533,792.65",99.97,,,"2,530,210.30",99.83,,,"2,534,360.70",99.99,,,"2,530,955.60",99.86,,,"2,534,453.55",99.99,,,"2,532,689.45",99.92,,,"2,534,561.00",100,,,"2,532,953.65",99.94,,,"2,534,575.95",100
stb,"2,916,752",,"2,906,066.20",99.63,,,"2,915,555.45",99.96,,,"2,910,787.65",99.8,,,"2,916,398.75",99.99,,,"2,911,937.95",99.83,,,"2,916,549.45",99.99,,,"2,913,838.20",99.9,,,"2,916,697.50",100,,,"2,914,517.50",99.92,,,"2,916,720.45",100
stdeval1,"2,634,044",,"2,624,222.35",99.63,,,"2,633,076.80",99.96,,,"2,628,746.25",99.8,,,"2,633,789.30",99.99,,,"2,629,841.20",99.84,,,"2,633,894.10",99.99,,,"2,631,582.00",99.91,,,"2,633,998.90",100,,,"2,632,017.85",99.92,,,"2,634,016.40",100
stm3210e_eval,"3,004,138",,"2,994,585.00",99.68,,,"3,002,958.75",99.96,,,"2,998,643.05",99.82,,,"3,003,730.60",99.99,,,"2,999,794.95",99.86,,,"3,003,935.55",99.99,,,"3,001,521.30",99.91,,,"3,004,081.25",100,,,"3,002,082.85",99.93,,,"3,004,105.30",100
ts1000,"3,167,286",,"3,155,201.80",99.62,,,"3,165,908.40",99.96,,,"3,160,160.05",99.78,,,"3,166,787.75",99.98,,,"3,161,619.00",99.82,,,"3,167,051.65",99.99,,,"3,163,929.35",99.89,,,"3,167,218.30",100,,,"3,164,596.55",99.92,,,"3,167,245.95",100
ts6,"2,896,324",,"2,885,169.70",99.61,,,"2,895,149.05",99.96,,,"2,890,012.95",99.78,,,"2,895,881.70",99.98,,,"2,891,355.35",99.83,,,"2,896,119.65",99.99,,,"2,893,298.80",99.9,,,"2,896,270.20",100,,,"2,893,840.75",99.91,,,"2,896,293.20",100
tx39_sim,"2,571,192",,"2,562,908.35",99.68,,,"2,570,369.15",99.97,,,"2,566,489.15",99.82,,,"2,570,909.05",99.99,,,"2,567,659.85",99.86,,,"2,571,054.00",99.99,,,"2,569,111.90",99.92,,,"2,571,153.55",100,,,"2,569,563.80",99.94,,,"2,571,169.20",100
uClinux,"3,013,528",,"3,013,528.00",100,,,"3,013,528.00",100,,,"3,013,528.00",100,,,"3,013,528.00",100,,,"3,013,528.00",100,,,"3,013,528.00",100,,,"3,013,528.00",100,,,"3,013,528.00",100,,,"3,013,528.00",100,,,"3,013,528.00",100
uE250,"2,893,698",,"2,883,686.30",99.65,,,"2,892,547.70",99.96,,,"2,887,890.30",99.8,,,"2,893,256.00",99.98,,,"2,889,146.30",99.84,,,"2,893,505.90",99.99,,,"2,890,855.25",99.9,,,"2,893,636.35",100,,,"2,891,450.15",99.92,,,"2,893,664.05",100
vads,"2,896,324",,"2,885,174.50",99.62,,,"2,895,079.85",99.96,,,"2,889,797.65",99.77,,,"2,895,936.15",99.99,,,"2,891,082.15",99.82,,,"2,896,094.90",99.99,,,"2,893,296.50",99.9,,,"2,896,272.00",100,,,"2,893,840.35",99.91,,,"2,896,289.35",100
viper,"3,182,447",,"3,169,736.15",99.6,,,"3,180,967.80",99.95,,,"3,175,447.70",99.78,,,"3,181,996.95",99.99,,,"3,176,843.20",99.82,,,"3,182,204.35",99.99,,,"3,179,017.40",99.89,,,"3,182,382.25",100,,,"3,179,698.35",99.91,,,"3,182,408.40",100
vrc4373,"2,884,611",,"2,874,230.35",99.64,,,"2,883,355.15",99.96,,,"2,878,596.00",99.79,,,"2,884,153.85",99.98,,,"2,880,095.45",99.84,,,"2,884,388.50",99.99,,,"2,881,893.05",99.91,,,"2,884,549.75",100,,,"2,882,453.50",99.93,,,"2,884,571.80",100
vrc4375,"2,968,972",,"2,957,472.65",99.61,,,"2,967,624.80",99.95,,,"2,962,249.15",99.77,,,"2,968,531.15",99.99,,,"2,963,645.60",99.82,,,"2,968,723.15",99.99,,,"2,965,688.55",99.89,,,"2,968,904.80",100,,,"2,966,304.85",99.91,,,"2,968,929.35",100
XSEngine,"2,974,825",,"2,964,407.40",99.65,,,"2,973,601.10",99.96,,,"2,968,883.25",99.8,,,"2,974,371.60",99.98,,,"2,969,901.90",99.83,,,"2,974,596.80",99.99,,,"2,971,950.25",99.9,,,"2,974,770.75",100,,,"2,972,468.95",99.92,,,"2,974,793.95",100
AVERAGE,,,"2,862,118.03",99.44,,,"2,873,833.11",99.94,,,"2,866,697.72",99.59,,,"2,874,720.74",99.97,,,"2,867,994.32",99.64,,,"2,874,904.84",99.98,,,"2,870,021.77",99.71,,,"2,875,097.04",99.98,,,"2,870,592.08",99.73,,,"2,875,135.74",99.98
