Benchmark,#TotalOC,,"LS-Sampling (k=100, lambda=10)",,,,"LS-Sampling (k=1000, lambda=10)",,,,"LS-Sampling (k=100, lambda=50)",,,,"LS-Sampling (k=1000, lambda=50)",,,,"LS-Sampling (k=100, lambda=100)",,,,"LS-Sampling (k=1000, lambda=100)",,,,"LS-Sampling (k=100, lambda=500)",,,,"LS-Sampling (k=1000, lambda=500)",,,,"LS-Sampling (k=100, lambda=1000)",,,,"LS-Sampling (k=1000, lambda=1000)",
,,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%)
calm16_ceb,"2,552,819",,"2,543,886.55",99.65,,,"2,551,827.40",99.96,,,"2,547,735.50",99.8,,,"2,552,576.75",99.99,,,"2,549,009.35",99.85,,,"2,552,678.45",99.99,,,"2,550,605.45",99.91,,,"2,552,785.85",100,,,"2,551,043.90",99.93,,,"2,552,796.70",100
calm32_ceb,"2,552,819",,"2,543,734.05",99.64,,,"2,551,899.70",99.96,,,"2,547,671.40",99.8,,,"2,552,565.45",99.99,,,"2,548,863.15",99.85,,,"2,552,680.55",99.99,,,"2,550,640.00",99.91,,,"2,552,781.15",100,,,"2,551,092.55",99.93,,,"2,552,796.70",100
ceb_v850,"2,632,319",,"2,623,158.55",99.65,,,"2,631,368.95",99.96,,,"2,627,155.05",99.8,,,"2,632,030.80",99.99,,,"2,628,285.40",99.85,,,"2,632,182.30",99.99,,,"2,630,109.95",99.92,,,"2,632,277.30",100,,,"2,630,489.60",99.93,,,"2,632,295.90",100
cerf,"3,023,738",,"3,012,534.75",99.63,,,"3,022,508.25",99.96,,,"3,016,987.85",99.78,,,"3,023,300.45",99.99,,,"3,018,489.50",99.83,,,"3,023,516.75",99.99,,,"3,020,576.35",99.9,,,"3,023,679.20",100,,,"3,021,129.00",99.91,,,"3,023,695.00",100
cerfpda,"3,096,965",,"3,084,938.65",99.61,,,"3,095,660.50",99.96,,,"3,089,995.95",99.77,,,"3,096,507.25",99.99,,,"3,091,528.40",99.82,,,"3,096,724.10",99.99,,,"3,093,530.50",99.89,,,"3,096,896.15",100,,,"3,094,192.75",99.91,,,"3,096,916.55",100
cma230,"2,718,034",,"2,708,914.90",99.66,,,"2,717,004.50",99.96,,,"2,712,956.55",99.81,,,"2,717,768.55",99.99,,,"2,714,086.20",99.85,,,"2,717,878.90",99.99,,,"2,715,740.05",99.92,,,"2,717,992.00",100,,,"2,716,218.85",99.93,,,"2,718,009.05",100
cma28x,"2,694,432",,"2,685,015.60",99.65,,,"2,693,466.05",99.96,,,"2,689,423.85",99.81,,,"2,694,131.95",99.99,,,"2,690,278.25",99.85,,,"2,694,275.80",99.99,,,"2,692,164.30",99.92,,,"2,694,391.40",100,,,"2,692,650.60",99.93,,,"2,694,402.50",100
cme555,"2,987,068",,"2,976,899.25",99.66,,,"2,985,943.05",99.96,,,"2,981,200.50",99.8,,,"2,986,760.90",99.99,,,"2,982,450.80",99.85,,,"2,986,853.55",99.99,,,"2,984,438.10",99.91,,,"2,987,018.75",100,,,"2,984,952.45",99.93,,,"2,987,041.75",100
cq7708,"2,833,809",,"2,822,848.50",99.61,,,"2,832,935.80",99.97,,,"2,827,409.35",99.77,,,"2,833,563.70",99.99,,,"2,828,752.00",99.82,,,"2,833,677.15",100,,,"2,830,786.60",99.89,,,"2,833,771.20",100,,,"2,831,300.70",99.91,,,"2,833,788.10",100
cq7750,"2,945,323",,"2,934,621.65",99.64,,,"2,944,332.45",99.97,,,"2,939,558.30",99.8,,,"2,945,035.75",99.99,,,"2,940,538.95",99.84,,,"2,945,141.15",99.99,,,"2,942,583.25",99.91,,,"2,945,279.00",100,,,"2,943,045.00",99.92,,,"2,945,299.10",100
csb281,"2,873,486",,"2,862,055.90",99.6,,,"2,872,233.80",99.96,,,"2,866,956.65",99.77,,,"2,873,085.70",99.99,,,"2,868,096.70",99.81,,,"2,873,256.85",99.99,,,"2,870,249.20",99.89,,,"2,873,428.30",100,,,"2,870,838.25",99.91,,,"2,873,448.50",100
dreamcast,"2,908,040",,"2,896,725.00",99.61,,,"2,906,977.10",99.96,,,"2,901,546.70",99.78,,,"2,907,700.15",99.99,,,"2,902,749.90",99.82,,,"2,907,875.75",99.99,,,"2,904,909.75",99.89,,,"2,907,988.85",100,,,"2,905,496.85",99.91,,,"2,908,008.50",100
e7t,"2,998,580",,"2,987,465.95",99.63,,,"2,997,334.35",99.96,,,"2,992,023.70",99.78,,,"2,998,060.30",99.98,,,"2,993,289.65",99.82,,,"2,998,319.95",99.99,,,"2,995,243.30",99.89,,,"2,998,509.65",100,,,"2,995,877.70",99.91,,,"2,998,543.30",100
