Benchmark,#TotalOC,,LS-Sampling-alt1 (k=100),,,LS-Sampling-alt1 (k=1000),,,LS-Sampling-alt2 (k=100),,,LS-Sampling-alt2 (k=1000),,,LS-Sampling-alt3 (k=100),,,LS-Sampling-alt3 (k=1000),,,LS-Sampling (k=100),,,LS-Sampling (k=1000),
,,,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%)
aaed2000,"3,077,396",,"3,042,903.10",98.88,,"3,058,332.00",99.38,,"3,015,573.45",97.99,,"3,040,574.10",98.8,,"3,037,244.90",98.7,,"3,057,816.40",99.36,,"3,069,780.00",99.75,,"3,077,183.85",99.99
adder,"3,040,048",,"3,026,529.90",99.56,,"3,038,805.05",99.96,,"2,979,216.45",98,,"3,004,367.00",98.83,,"3,020,377.60",99.35,,"3,038,109.30",99.94,,"3,034,757.50",99.83,,"3,039,832.40",99.99
adderII,"3,059,606",,"3,046,435.25",99.57,,"3,058,419.20",99.96,,"3,001,366.40",98.1,,"3,024,105.30",98.84,,"3,041,689.00",99.41,,"3,057,704.65",99.94,,"3,054,229.15",99.82,,"3,059,397.95",99.99
aeb,"2,722,566",,"2,708,542.50",99.48,,"2,721,239.25",99.95,,"2,665,454.70",97.9,,"2,687,620.10",98.72,,"2,704,268.65",99.33,,"2,721,029.35",99.94,,"2,718,144.70",99.84,,"2,722,420.00",99.99
aim711,"2,987,322",,"2,974,117.40",99.56,,"2,985,893.85",99.95,,"2,925,610.40",97.93,,"2,952,038.80",98.82,,"2,969,478.00",99.4,,"2,985,109.25",99.93,,"2,982,115.85",99.83,,"2,987,122.05",99.99
aki3068net,"2,725,375",,"2,711,668.10",99.5,,"2,724,371.70",99.96,,"2,669,072.05",97.93,,"2,691,239.80",98.75,,"2,709,027.55",99.4,,"2,723,986.80",99.95,,"2,721,047.75",99.84,,"2,725,226.45",99.99
am31_sim,"2,518,806",,"2,505,520.00",99.47,,"2,517,595.95",99.95,,"2,465,980.65",97.9,,"2,486,177.15",98.7,,"2,503,124.40",99.38,,"2,517,778.25",99.96,,"2,515,198.05",99.86,,"2,518,676.85",99.99
asb,"2,812,382",,"2,789,946.65",99.2,,"2,807,188.85",99.82,,"2,754,423.35",97.94,,"2,777,849.75",98.77,,"2,787,407.60",99.11,,"2,806,020.75",99.77,,"2,807,979.90",99.84,,"2,812,192.05",99.99
asb2305,"2,843,643",,"2,819,279.60",99.14,,"2,836,855.95",99.76,,"2,788,455.60",98.06,,"2,809,030.15",98.78,,"2,818,294.15",99.11,,"2,837,988.05",99.8,,"2,839,292.35",99.85,,"2,843,460.75",99.99
assabet,"2,939,079",,"2,921,730.30",99.41,,"2,932,446.10",99.77,,"2,883,024.20",98.09,,"2,902,978.05",98.77,,"2,919,762.85",99.34,,"2,936,706.95",99.92,,"2,934,436.10",99.84,,"2,938,883.80",99.99
at91sam7sek,"3,071,870",,"3,053,467.00",99.4,,"3,066,737.10",99.83,,"3,006,938.20",97.89,,"3,033,630.95",98.76,,"3,053,399.20",99.4,,"3,069,683.90",99.93,,"3,067,077.00",99.84,,"3,071,700.40",99.99
at91sam7xek,"3,217,676",,"3,197,776.10",99.38,,"3,212,361.20",99.83,,"3,147,624.15",97.82,,"3,179,169.25",98.8,,"3,198,282.80",99.4,,"3,214,688.50",99.91,,"3,212,034.70",99.82,,"3,217,466.95",99.99
atlas_mips32_4kc,"2,764,804",,"2,751,073.05",99.5,,"2,763,493.50",99.95,,"2,709,082.55",97.98,,"2,730,396.55",98.76,,"2,748,728.60",99.42,,"2,762,917.80",99.93,,"2,759,944.80",99.82,,"2,764,598.45",99.99
atlas_mips64_5kc,"2,732,018",,"2,718,021.10",99.49,,"2,730,621.15",99.95,,"2,676,143.45",97.95,,"2,697,750.70",98.75,,"2,715,497.80",99.4,,"2,730,345.50",99.94,,"2,727,163.05",99.82,,"2,731,837.70",99.99
axtls,"16,212",,"16,176.50",99.78,,"16,212.00",100,,"16,204.10",99.95,,"16,212.00",100,,"16,155.70",99.65,,"16,210.20",99.99,,"16,210.90",99.99,,"16,212.00",100
brutus,"2,753,311",,"2,740,032.55",99.52,,"2,752,261.55",99.96,,"2,696,094.10",97.92,,"2,718,387.75",98.73,,"2,735,814.95",99.36,,"2,751,941.80",99.95,,"2,749,138.85",99.85,,"2,753,166.80",99.99
buildroot,"621,270",,"621,058.00",99.97,,"621,058.00",99.97,,"621,058.00",99.97,,"621,058.00",99.97,,"621,058.00",99.97,,"621,058.00",99.97,,"621,058.00",99.97,,"621,058.00",99.97
busybox_1_28_0,"1,965,023",,"1,960,088.65",99.75,,"1,962,526.30",99.87,,"1,959,041.80",99.7,,"1,961,403.15",99.82,,"1,959,801.20",99.73,,"1,962,134.90",99.85,,"1,962,484.05",99.87,,"1,963,429.05",99.92
calm16_ceb,"2,552,819",,"2,539,499.95",99.48,,"2,551,684.25",99.96,,"2,501,754.20",98,,"2,519,482.70",98.69,,"2,538,201.60",99.43,,"2,551,612.45",99.95,,"2,549,009.35",99.85,,"2,552,678.45",99.99
calm32_ceb,"2,552,819",,"2,539,443.50",99.48,,"2,551,794.50",99.96,,"2,501,301.25",97.98,,"2,520,210.85",98.72,,"2,538,168.30",99.43,,"2,551,556.65",99.95,,"2,548,863.15",99.85,,"2,552,680.55",99.99
ceb_v850,"2,632,319",,"2,618,863.90",99.49,,"2,631,143.60",99.96,,"2,582,504.00",98.11,,"2,598,831.65",98.73,,"2,615,716.30",99.37,,"2,631,108.95",99.95,,"2,628,285.40",99.85,,"2,632,182.30",99.99
cerf,"3,023,738",,"3,008,480.00",99.5,,"3,021,776.15",99.94,,"2,961,208.25",97.93,,"2,987,499.90",98.8,,"3,002,644.60",99.3,,"3,021,193.15",99.92,,"3,018,489.50",99.83,,"3,023,516.75",99.99
cerfpda,"3,096,965",,"3,079,058.80",99.42,,"3,094,999.70",99.94,,"3,033,742.50",97.96,,"3,060,856.55",98.83,,"3,075,171.45",99.3,,"3,094,181.25",99.91,,"3,091,528.40",99.82,,"3,096,724.10",99.99
cma230,"2,718,034",,"2,705,065.00",99.52,,"2,716,789.35",99.95,,"2,659,156.40",97.83,,"2,683,402.05",98.73,,"2,702,782.00",99.44,,"2,716,557.75",99.95,,"2,714,086.20",99.85,,"2,717,878.90",99.99
