Benchmark,#TotalOC,,LS-Sampling-alt1 (k=100),,,LS-Sampling-alt1 (k=1000),,,LS-Sampling-alt2 (k=100),,,LS-Sampling-alt2 (k=1000),,,LS-Sampling-alt3 (k=100),,,LS-Sampling-alt3 (k=1000),,,LS-Sampling (k=100),,,LS-Sampling (k=1000),
cma28x,"2,694,432",,"2,681,395.10",99.52,,"2,693,179.95",99.95,,"2,638,849.80",97.94,,"2,660,026.30",98.72,,"2,677,915.20",99.39,,"2,693,117.75",99.95,,"2,690,278.25",99.85,,"2,694,275.80",99.99
cme555,"2,987,068",,"2,962,693.50",99.18,,"2,978,665.85",99.72,,"2,929,262.20",98.06,,"2,950,521.00",98.78,,"2,959,572.45",99.08,,"2,977,923.60",99.69,,"2,982,450.80",99.85,,"2,986,853.55",99.99
cq7708,"2,833,809",,"2,809,192.60",99.13,,"2,828,739.10",99.82,,"2,776,156.65",97.97,,"2,797,595.15",98.72,,"2,817,161.35",99.41,,"2,832,394.05",99.95,,"2,828,752.00",99.82,,"2,833,677.15",100
cq7750,"2,945,323",,"2,922,761.05",99.23,,"2,937,059.80",99.72,,"2,886,199.35",97.99,,"2,909,381.55",98.78,,"2,918,050.75",99.07,,"2,936,332.95",99.69,,"2,940,538.95",99.84,,"2,945,141.15",99.99
csb281,"2,873,486",,"2,862,860.75",99.63,,"2,872,522.70",99.97,,"2,814,897.85",97.96,,"2,838,900.95",98.8,,"2,855,470.65",99.37,,"2,871,115.70",99.92,,"2,868,096.70",99.81,,"2,873,256.85",99.99
dreamcast,"2,908,040",,"2,893,121.40",99.49,,"2,906,271.40",99.94,,"2,848,348.10",97.95,,"2,872,070.80",98.76,,"2,890,643.60",99.4,,"2,905,677.65",99.92,,"2,902,749.90",99.82,,"2,907,875.75",99.99
e7t,"2,998,580",,"2,973,875.70",99.18,,"2,991,551.80",99.77,,"2,938,041.05",97.98,,"2,963,667.50",98.84,,"2,966,144.85",98.92,,"2,985,508.45",99.56,,"2,993,289.65",99.82,,"2,998,319.95",99.99
ea2468,"3,445,241",,"3,428,259.05",99.51,,"3,442,342.60",99.92,,"3,381,056.50",98.14,,"3,406,881.50",98.89,,"3,423,811.55",99.38,,"3,442,471.30",99.92,,"3,439,591.90",99.84,,"3,445,013.55",99.99
eb40,"2,845,284",,"2,829,837.25",99.46,,"2,843,825.80",99.95,,"2,785,293.05",97.89,,"2,808,981.30",98.72,,"2,827,575.90",99.38,,"2,843,260.55",99.93,,"2,841,024.00",99.85,,"2,845,126.25",99.99
eb40a,"2,850,007",,"2,835,494.75",99.49,,"2,848,693.35",99.95,,"2,792,218.90",97.97,,"2,814,137.05",98.74,,"2,829,124.70",99.27,,"2,848,002.55",99.93,,"2,845,586.55",99.84,,"2,849,822.55",99.99
eb42,"2,816,657",,"2,803,054.30",99.52,,"2,815,460.35",99.96,,"2,758,222.75",97.93,,"2,781,033.65",98.74,,"2,801,969.35",99.48,,"2,815,163.25",99.95,,"2,812,465.85",99.85,,"2,816,481.35",99.99
eb55,"2,972,652",,"2,956,639.80",99.46,,"2,971,056.35",99.95,,"2,914,526.65",98.04,,"2,936,494.35",98.78,,"2,951,493.35",99.29,,"2,970,455.95",99.93,,"2,968,161.15",99.85,,"2,972,434.85",99.99
ebsa285,"2,928,811",,"2,917,600.15",99.62,,"2,927,852.90",99.97,,"2,868,759.00",97.95,,"2,893,515.55",98.79,,"2,909,917.75",99.35,,"2,926,251.40",99.91,,"2,923,255.35",99.81,,"2,928,608.75",99.99
ec555,"2,991,912",,"2,968,740.50",99.23,,"2,984,187.55",99.74,,"2,932,757.45",98.02,,"2,955,119.90",98.77,,"2,963,493.45",99.05,,"2,983,083.65",99.7,,"2,987,195.45",99.84,,"2,991,709.00",99.99
ecos-icse11,"2,910,229",,"2,895,139.70",99.48,,"2,908,621.75",99.94,,"2,851,770.10",97.99,,"2,875,326.75",98.8,,"2,892,305.05",99.38,,"2,907,915.70",99.92,,"2,905,417.30",99.83,,"2,910,024.90",99.99
edb7xxx,"2,883,125",,"2,867,660.25",99.46,,"2,881,799.70",99.95,,"2,825,947.75",98.02,,"2,847,163.50",98.75,,"2,862,942.45",99.3,,"2,880,883.30",99.92,,"2,878,315.05",99.83,,"2,882,941.50",99.99
edosk2674,"2,664,906",,"2,651,466.35",99.5,,"2,663,822.40",99.96,,"2,610,485.60",97.96,,"2,631,434.10",98.74,,"2,648,338.45",99.38,,"2,663,408.95",99.94,,"2,660,410.05",99.83,,"2,664,750.50",99.99
embtoolkit,"8,256,603",,"7,985,145.65",96.71,,"8,126,234.80",98.42,,"8,024,526.15",97.19,,"8,122,722.35",98.38,,"7,896,248.85",95.64,,"8,041,821.05",97.4,,"8,123,705.60",98.39,,"8,220,226.15",99.56
excalibur_arm9,"2,811,553",,"2,787,378.90",99.14,,"2,798,884.30",99.55,,"2,754,722.15",97.98,,"2,775,787.60",98.73,,"2,786,348.20",99.1,,"2,808,125.45",99.88,,"2,806,002.45",99.8,,"2,811,400.15",99.99
fads,"2,616,878",,"2,604,165.75",99.51,,"2,615,831.85",99.96,,"2,563,817.80",97.97,,"2,582,753.55",98.7,,"2,601,756.90",99.42,,"2,615,808.50",99.96,,"2,613,110.40",99.86,,"2,616,728.70",99.99
financial,"917,150",,"668,930.35",72.94,,"881,913.30",96.16,,"701,453.90",76.48,,"903,802.80",98.54,,"665,971.95",72.61,,"869,642.00",94.82,,"712,098.30",77.64,,"909,548.80",99.17
flexanet,"2,993,782",,"2,979,354.60",99.52,,"2,992,161.65",99.95,,"2,936,065.85",98.07,,"2,957,841.65",98.8,,"2,975,738.80",99.4,,"2,991,138.90",99.91,,"2,988,440.80",99.82,,"2,993,540.20",99.99
freebsd-icse11,"3,765,597",,"3,708,524.05",98.48,,"3,730,836.00",99.08,,"3,685,778.05",97.88,,"3,743,192.30",99.41,,"3,648,887.25",96.9,,"3,665,113.70",97.33,,"3,734,605.40",99.18,,"3,746,891.50",99.5
frv400,"2,877,936",,"2,857,298.00",99.28,,"2,875,463.30",99.91,,"2,822,093.90",98.06,,"2,844,046.20",98.82,,"2,851,061.00",99.07,,"2,869,745.75",99.72,,"2,873,150.95",99.83,,"2,877,709.85",99.99
gps4020,"2,717,800",,"2,703,913.30",99.49,,"2,716,552.85",99.95,,"2,664,631.65",98.04,,"2,683,554.95",98.74,,"2,701,299.10",99.39,,"2,716,227.85",99.94,,"2,713,598.10",99.85,,"2,717,632.45",99.99
grg,"2,874,004",,"2,860,482.35",99.53,,"2,872,686.80",99.95,,"2,816,668.15",98.01,,"2,838,607.35",98.77,,"2,857,113.90",99.41,,"2,871,836.20",99.92,,"2,869,485.30",99.84,,"2,873,817.30",99.99
h8300h_sim,"2,580,312",,"2,567,646.20",99.51,,"2,579,403.85",99.96,,"2,528,939.00",98.01,,"2,547,119.05",98.71,,"2,562,469.00",99.31,,"2,579,184.55",99.96,,"2,576,741.90",99.86,,"2,580,163.55",99.99
h8max,"2,701,971",,"2,688,007.45",99.48,,"2,700,872.30",99.96,,"2,648,465.45",98.02,,"2,668,046.90",98.74,,"2,683,506.55",99.32,,"2,700,421.20",99.94,,"2,697,541.85",99.84,,"2,701,797.00",99.99
h8s_sim,"2,584,875",,"2,572,162.50",99.51,,"2,583,922.85",99.96,,"2,531,609.45",97.94,,"2,552,159.20",98.73,,"2,569,263.95",99.4,,"2,583,724.50",99.96,,"2,581,214.05",99.86,,"2,584,729.20",99.99
hs7729pci,"3,150,211",,"3,110,639.55",98.74,,"3,134,324.25",99.5,,"3,087,081.35",98,,"3,112,440.45",98.8,,"3,112,493.65",98.8,,"3,136,802.35",99.57,,"3,141,987.45",99.74,,"3,149,968.50",99.99
innovator,"2,951,515",,"2,917,539.70",98.85,,"2,936,119.95",99.48,,"2,890,903.95",97.95,,"2,916,085.45",98.8,,"2,909,272.80",98.57,,"2,931,383.00",99.32,,"2,944,355.30",99.76,,"2,951,320.05",99.99
integrator_arm7,"2,957,100",,"2,942,381.10",99.5,,"2,955,482.35",99.95,,"2,900,830.45",98.1,,"2,922,127.55",98.82,,"2,936,197.45",99.29,,"2,954,606.30",99.92,,"2,951,971.90",99.83,,"2,956,901.75",99.99
integrator_arm9,"2,998,857",,"2,964,372.10",98.85,,"2,977,836.45",99.3,,"2,938,843.20",98,,"2,963,077.90",98.81,,"2,962,890.70",98.8,,"2,987,237.15",99.61,,"2,992,863.65",99.8,,"2,998,648.15",99.99
ipaq,"2,897,450",,"2,879,601.10",99.38,,"2,891,058.85",99.78,,"2,838,615.85",97.97,,"2,861,076.85",98.74,,"2,878,979.40",99.36,,"2,895,690.75",99.94,,"2,892,991.90",99.85,,"2,897,238.25",99.99
iq80310,"2,960,510",,"2,946,475.25",99.53,,"2,958,925.00",99.95,,"2,902,717.80",98.05,,"2,924,882.10",98.8,,"2,945,349.90",99.49,,"2,958,155.45",99.92,,"2,955,691.00",99.84,,"2,960,296.60",99.99
iq80321,"2,950,754",,"2,937,031.70",99.53,,"2,949,073.95",99.94,,"2,893,581.55",98.06,,"2,915,157.05",98.79,,"2,934,330.30",99.44,,"2,948,544.45",99.93,,"2,945,983.60",99.84,,"2,950,537.70",99.99
ixdp425,"2,902,858",,"2,888,988.95",99.52,,"2,901,516.85",99.95,,"2,845,541.25",98.03,,"2,867,491.90",98.78,,"2,887,925.35",99.49,,"2,900,883.55",99.93,,"2,898,123.65",99.84,,"2,902,631.85",99.99
jmr3904,"2,664,287",,"2,650,374.30",99.48,,"2,663,062.40",99.95,,"2,608,217.25",97.9,,"2,630,639.15",98.74,,"2,647,289.10",99.36,,"2,662,874.65",99.95,,"2,660,141.65",99.84,,"2,664,132.45",99.99
jtst,"2,849,989",,"2,834,511.45",99.46,,"2,848,595.25",99.95,,"2,791,712.55",97.96,,"2,813,317.00",98.71,,"2,828,630.55",99.25,,"2,848,264.10",99.94,,"2,845,648.20",99.85,,"2,849,803.60",99.99
linux,"2,797,796",,"2,786,808.30",99.61,,"2,797,200.80",99.98,,"2,742,582.45",98.03,,"2,764,437.90",98.81,,"2,778,296.00",99.3,,"2,795,934.70",99.93,,"2,792,832.00",99.82,,"2,797,612.65",99.99
lpcmt,"2,887,921",,"2,873,589.10",99.5,,"2,886,597.65",99.95,,"2,829,661.45",97.98,,"2,851,528.60",98.74,,"2,868,060.40",99.31,,"2,885,918.15",99.93,,"2,883,612.25",99.85,,"2,887,769.50",99.99
m5272c3,"3,277,333",,"3,262,522.00",99.55,,"3,276,265.05",99.97,,"3,211,748.75",98,,"3,236,891.80",98.77,,"3,259,961.30",99.47,,"3,275,377.15",99.94,,"3,271,724.50",99.83,,"3,277,192.40",100
mac7100evb,"2,817,536",,"2,804,913.75",99.55,,"2,816,205.60",99.95,,"2,762,503.75",98.05,,"2,782,148.70",98.74,,"2,802,220.80",99.46,,"2,816,134.95",99.95,,"2,813,299.45",99.85,,"2,817,345.80",99.99
mace1,"2,817,536",,"2,803,921.95",99.52,,"2,816,164.00",99.95,,"2,761,779.90",98.02,,"2,782,382.90",98.75,,"2,802,065.95",99.45,,"2,815,999.55",99.95,,"2,813,186.00",99.85,,"2,817,343.50",99.99
malta_mips32_4kc,"2,837,755",,"2,824,998.75",99.55,,"2,836,262.35",99.95,,"2,783,986.30",98.11,,"2,805,187.70",98.85,,"2,818,917.50",99.34,,"2,835,248.45",99.91,,"2,832,592.25",99.82,,"2,837,535.70",99.99
malta_mips64_5kc,"2,837,834",,"2,824,087.95",99.52,,"2,836,337.90",99.95,,"2,782,163.30",98.04,,"2,804,937.20",98.84,,"2,820,842.15",99.4,,"2,835,544.30",99.92,,"2,832,562.65",99.81,,"2,837,602.40",99.99
mb93091,"2,928,306",,"2,908,066.05",99.31,,"2,925,246.60",99.9,,"2,870,505.30",98.03,,"2,894,431.65",98.84,,"2,896,926.45",98.93,,"2,918,752.25",99.67,,"2,923,058.05",99.82,,"2,928,068.30",99.99
mb93093,"2,839,740",,"2,819,610.15",99.29,,"2,837,583.00",99.92,,"2,784,131.90",98.04,,"2,805,892.55",98.81,,"2,811,516.45",99.01,,"2,831,490.20",99.71,,"2,834,859.50",99.83,,"2,839,492.95",99.99
mbx,"3,152,444",,"3,130,598.40",99.31,,"3,149,561.75",99.91,,"3,090,852.35",98.05,,"3,116,794.80",98.87,,"3,123,379.00",99.08,,"3,143,199.65",99.71,,"3,146,770.75",99.82,,"3,152,192.05",99.99
mcb2100,"2,887,921",,"2,873,038.50",99.48,,"2,886,600.25",99.95,,"2,831,026.50",98.03,,"2,852,323.30",98.77,,"2,866,616.55",99.26,,"2,886,285.20",99.94,,"2,883,667.10",99.85,,"2,887,774.90",99.99
moab,"3,061,614",,"3,047,189.45",99.53,,"3,059,415.75",99.93,,"3,002,982.15",98.08,,"3,026,030.85",98.84,,"3,038,960.60",99.26,,"3,058,662.30",99.9,,"3,055,049.30",99.79,,"3,061,300.05",99.99
mpc50,"2,719,748",,"2,706,831.15",99.53,,"2,718,684.15",99.96,,"2,661,817.05",97.87,,"2,684,561.90",98.71,,"2,704,772.90",99.45,,"2,718,649.30",99.96,,"2,715,982.80",99.86,,"2,719,589.90",99.99
nano,"3,016,264",,"3,004,236.35",99.6,,"3,015,190.60",99.96,,"2,952,140.25",97.87,,"2,979,941.10",98.8,,"2,994,721.85",99.29,,"3,013,539.60",99.91,,"3,010,390.70",99.81,,"3,016,028.50",99.99
npwr,"2,960,866",,"2,946,953.95",99.53,,"2,959,232.40",99.94,,"2,901,713.15",98,,"2,925,413.95",98.8,,"2,943,445.40",99.41,,"2,958,535.15",99.92,,"2,956,029.50",99.84,,"2,960,636.00",99.99
ocelot,"2,986,129",,"2,962,084.65",99.19,,"2,982,405.90",99.88,,"2,924,710.05",97.94,,"2,951,339.60",98.83,,"2,956,157.65",99,,"2,976,384.25",99.67,,"2,981,106.75",99.83,,"2,985,886.40",99.99
olpce2294,"3,037,775",,"3,022,535.20",99.5,,"3,036,337.50",99.95,,"2,978,739.90",98.06,,"3,000,987.85",98.79,,"3,018,198.55",99.36,,"3,035,267.35",99.92,,"3,032,389.40",99.82,,"3,037,596.25",99.99
olpch2294,"2,945,759",,"2,930,380.05",99.48,,"2,944,579.30",99.96,,"2,884,645.95",97.93,,"2,909,425.45",98.77,,"2,925,221.00",99.3,,"2,944,001.20",99.94,,"2,941,447.20",99.85,,"2,945,596.70",99.99
olpcl2294,"3,033,027",,"3,017,934.25",99.5,,"3,031,625.00",99.95,,"2,971,867.50",97.98,,"2,996,123.20",98.78,,"3,013,307.20",99.35,,"3,030,687.45",99.92,,"3,027,799.15",99.83,,"3,032,830.85",99.99
p2106,"2,887,921",,"2,873,502.00",99.5,,"2,886,602.45",99.95,,"2,828,642.35",97.95,,"2,851,290.55",98.73,,"2,865,566.95",99.23,,"2,886,120.80",99.94,,"2,883,742.40",99.86,,"2,887,778.30",100
pati,"2,901,007",,"2,887,158.10",99.52,,"2,899,895.05",99.96,,"2,841,874.80",97.96,,"2,864,663.50",98.75,,"2,882,500.30",99.36,,"2,899,653.20",99.95,,"2,896,516.40",99.85,,"2,900,847.25",99.99
pc_i82544,"2,977,432",,"2,961,037.75",99.45,,"2,974,968.50",99.92,,"2,920,856.70",98.1,,"2,942,248.80",98.82,,"2,954,822.40",99.24,,"2,974,462.25",99.9,,"2,971,954.45",99.82,,"2,977,215.70",99.99
pc_i82559,"2,977,432",,"2,962,451.35",99.5,,"2,975,025.15",99.92,,"2,916,102.00",97.94,,"2,943,135.50",98.85,,"2,958,707.90",99.37,,"2,974,684.80",99.91,,"2,972,040.40",99.82,,"2,977,198.80",99.99
pc_rltk8139,"2,997,551",,"2,983,674.35",99.54,,"2,995,594.40",99.93,,"2,934,568.05",97.9,,"2,962,022.80",98.81,,"2,976,950.45",99.31,,"2,994,426.45",99.9,,"2,991,355.05",99.79,,"2,997,312.80",99.99
pc_usb_d12,"3,054,130",,"3,036,800.80",99.43,,"3,051,564.35",99.92,,"2,994,630.10",98.05,,"3,018,639.05",98.84,,"3,037,052.00",99.44,,"3,051,308.60",99.91,,"3,049,156.40",99.84,,"3,053,871.85",99.99
pc_vmWare,"2,959,321",,"2,944,244.45",99.49,,"2,957,376.40",99.93,,"2,897,947.70",97.93,,"2,923,959.45",98.81,,"2,937,042.55",99.25,,"2,956,790.90",99.91,,"2,954,006.45",99.82,,"2,959,083.10",99.99
phycore,"3,008,140",,"2,984,249.60",99.21,,"3,005,106.85",99.9,,"2,948,059.40",98,,"2,971,471.85",98.78,,"2,973,354.10",98.84,,"2,999,307.00",99.71,,"3,003,326.80",99.84,,"3,007,907.65",99.99
phycore229x,"3,353,009",,"3,326,629.15",99.21,,"3,348,076.65",99.85,,"3,285,451.20",97.99,,"3,314,675.00",98.86,,"3,318,151.30",98.96,,"3,343,606.75",99.72,,"3,347,059.70",99.82,,"3,352,752.50",99.99
picasso,"2,888,912",,"2,873,877.75",99.48,,"2,887,366.35",99.95,,"2,830,864.00",97.99,,"2,853,403.05",98.77,,"2,873,281.50",99.46,,"2,887,309.00",99.94,,"2,884,288.45",99.84,,"2,888,711.65",99.99
pid,"2,787,898",,"2,772,692.85",99.45,,"2,786,454.50",99.95,,"2,734,663.55",98.09,,"2,753,063.50",98.75,,"2,771,250.20",99.4,,"2,786,204.05",99.94,,"2,783,639.60",99.85,,"2,787,720.10",99.99
prpmc1100,"2,763,534",,"2,749,995.40",99.51,,"2,762,260.90",99.95,,"2,708,071.65",97.99,,"2,728,228.30",98.72,,"2,748,246.10",99.45,,"2,761,796.05",99.94,,"2,759,533.35",99.86,,"2,763,351.25",99.99
psim,"2,591,638",,"2,578,941.50",99.51,,"2,590,641.10",99.96,,"2,540,641.70",98.03,,"2,558,218.85",98.71,,"2,576,875.65",99.43,,"2,590,608.20",99.96,,"2,587,843.75",99.85,,"2,591,490.35",99.99
rattler,"3,269,503",,"3,249,420.20",99.39,,"3,266,673.35",99.91,,"3,204,367.00",98.01,,"3,233,243.70",98.89,,"3,235,942.90",98.97,,"3,259,769.00",99.7,,"3,262,843.15",99.8,,"3,269,217.25",99.99
ref4955,"2,752,784",,"2,738,584.00",99.48,,"2,751,506.70",99.95,,"2,695,297.05",97.91,,"2,718,335.55",98.75,,"2,735,544.10",99.37,,"2,751,415.20",99.95,,"2,748,780.20",99.85,,"2,752,618.70",99.99
refidt334,"3,022,264",,"3,006,172.05",99.47,,"3,020,490.60",99.94,,"2,961,344.40",97.98,,"2,987,999.35",98.87,,"2,987,950.25",98.86,,"3,011,210.70",99.63,,"3,016,248.75",99.8,,"3,022,026.05",99.99
sa1100mm,"2,760,267",,"2,747,253.05",99.53,,"2,759,204.65",99.96,,"2,702,890.65",97.92,,"2,724,867.00",98.72,,"2,742,489.60",99.36,,"2,758,751.35",99.95,,"2,756,269.95",99.86,,"2,760,107.05",99.99
sam7ex256,"3,251,255",,"3,229,554.60",99.33,,"3,245,863.70",99.83,,"3,186,353.25",98,,"3,213,237.85",98.83,,"3,227,055.80",99.26,,"3,248,201.35",99.91,,"3,245,580.15",99.83,,"3,251,035.65",99.99
se7751,"3,113,003",,"3,085,915.50",99.13,,"3,105,043.85",99.74,,"3,051,945.95",98.04,,"3,076,471.40",98.83,,"3,082,406.30",99.02,,"3,101,361.10",99.63,,"3,106,637.75",99.8,,"3,112,805.55",99.99
sh4_202_md,"2,953,597",,"2,938,376.50",99.48,,"2,952,110.85",99.95,,"2,895,189.95",98.02,,"2,917,363.15",98.77,,"2,935,084.40",99.37,,"2,951,387.20",99.93,,"2,947,742.85",99.8,,"2,953,414.85",99.99
sh7708,"2,900,913",,"2,874,171.90",99.08,,"2,893,680.90",99.75,,"2,839,446.40",97.88,,"2,864,001.85",98.73,,"2,879,688.10",99.27,,"2,899,225.75",99.94,,"2,895,353.30",99.81,,"2,900,774.00",100
skmb91302,"2,755,776",,"2,732,822.65",99.17,,"2,752,103.65",99.87,,"2,700,894.25",98.01,,"2,722,139.80",98.78,,"2,727,772.60",98.98,,"2,746,569.40",99.67,,"2,751,455.30",99.84,,"2,755,572.55",99.99
sleb,"2,624,832",,"2,611,827.85",99.5,,"2,623,575.05",99.95,,"2,571,542.05",97.97,,"2,592,023.30",98.75,,"2,608,331.20",99.37,,"2,623,470.10",99.95,,"2,621,030.75",99.86,,"2,624,687.20",99.99
smdk2410,"2,963,036",,"2,927,643.40",98.81,,"2,943,996.00",99.36,,"2,903,351.80",97.99,,"2,926,978.15",98.78,,"2,923,207.75",98.66,,"2,947,671.70",99.48,,"2,956,790.10",99.79,,"2,962,833.95",99.99
snds,"2,757,180",,"2,744,734.25",99.55,,"2,755,954.35",99.96,,"2,700,790.10",97.95,,"2,723,037.60",98.76,,"2,743,362.05",99.5,,"2,755,443.10",99.94,,"2,752,902.80",99.84,,"2,757,031.20",99.99
sparc_erc32,"2,534,598",,"2,522,146.75",99.51,,"2,533,525.85",99.96,,"2,481,918.15",97.92,,"2,502,044.30",98.72,,"2,520,557.15",99.45,,"2,533,535.15",99.96,,"2,531,120.60",99.86,,"2,534,469.95",99.99
sparc_leon,"2,534,598",,"2,521,656.35",99.49,,"2,533,427.75",99.95,,"2,484,136.90",98.01,,"2,501,657.30",98.7,,"2,519,993.70",99.42,,"2,533,541.55",99.96,,"2,530,929.20",99.86,,"2,534,462.55",99.99
