Benchmark,#TotalOC,,Uniform Sampling (k=100),,,Uniform Sampling (k=1000),,,Baital (k=100),,,Baital (k=1000),,,LS-Sampling (k=100),,,LS-Sampling (k=1000),
,,,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%)
aaed2000,"2,444,568,255",,"1,498,331,708.85",61.29,,"1,673,931,058.90",68.48,,"2,019,469,734.50",82.61,,"2,282,346,814.90",93.36,,"2,386,577,247.40",97.63,,"2,440,863,502.50",99.85
adder,"2,402,432,536",,"1,514,789,076.95",63.05,,"1,708,272,197.30",71.11,,"1,945,762,950.50",80.99,,"2,226,887,197.20",92.69,,"2,354,954,074.00",98.02,,"2,399,347,190.50",99.87
adderII,"2,425,797,217",,"1,529,901,953.70",63.07,,"1,727,509,963.80",71.21,,"1,968,814,391.30",81.16,,"2,244,207,478.60",92.51,,"2,377,725,239.55",98.02,,"2,422,676,129.40",99.87
aeb,"2,034,914,860",,"1,272,298,356.45",62.52,,"1,425,414,981.25",70.05,,"1,646,858,052.55",80.93,,"1,901,121,825.70",93.43,,"1,995,983,804.00",98.09,,"2,032,449,604.40",99.88
aim711,"2,340,712,354",,"1,434,518,588.20",61.29,,"1,612,994,562.35",68.91,,"1,901,076,317.25",81.22,,"2,200,260,920.30",94,,"2,294,262,967.80",98.02,,"2,337,627,828.85",99.87
aki3068net,"2,036,614,115",,"1,256,766,419.50",61.71,,"1,430,041,205.05",70.22,,"1,645,280,247.35",80.79,,"1,890,532,051.80",92.83,,"1,997,394,287.25",98.07,,"2,034,212,816.80",99.88
am31_sim,"1,808,691,009",,"1,134,540,097.55",62.73,,"1,277,914,733.05",70.65,,"1,482,111,617.15",81.94,,"1,698,265,688.25",93.89,,"1,776,759,073.20",98.23,,"1,806,774,638.10",99.89
asb,"2,136,106,174",,"1,301,724,350.80",60.94,,"1,453,593,223.70",68.05,,"1,755,879,377.80",82.2,,"2,025,601,358.95",94.83,,"2,096,430,327.15",98.14,,"2,133,604,315.25",99.88
asb2305,"2,172,462,086",,"1,327,020,165.90",61.08,,"1,482,028,221.25",68.22,,"1,791,430,745.45",82.46,,"2,058,928,563.85",94.77,,"2,133,028,460.05",98.18,,"2,169,960,601.15",99.88
assabet,"2,285,520,619",,"1,420,625,652.60",62.16,,"1,605,278,863.50",70.24,,"1,863,972,447.85",81.56,,"2,126,789,454.40",93.05,,"2,243,282,142.75",98.15,,"2,282,847,603.70",99.88
at91sam7sek,"2,443,618,092",,"1,512,563,280.60",61.9,,"1,698,754,676.55",69.52,,"2,002,154,574.90",81.93,,"2,298,482,809.65",94.06,,"2,398,722,497.85",98.16,,"2,440,798,117.35",99.88
at91sam7xek,"2,620,295,826",,"1,620,137,546.10",61.83,,"1,834,956,290.75",70.03,,"2,141,271,730.15",81.72,,"2,475,199,927.55",94.46,,"2,568,076,810.95",98.01,,"2,616,896,180.50",99.87
atlas_mips32_4kc,"2,081,563,953",,"1,289,806,289.30",61.96,,"1,454,129,686.10",69.86,,"1,686,271,551.70",81.01,,"1,932,423,999.65",92.84,,"2,040,258,657.50",98.02,,"2,078,916,116.50",99.87
atlas_mips64_5kc,"2,044,116,455",,"1,257,233,812.60",61.5,,"1,420,423,245.05",69.49,,"1,654,843,520.70",80.96,,"1,898,366,257.50",92.87,,"2,002,570,772.70",97.97,,"2,041,499,539.60",99.87
axtls,"916,254",,"701,254.45",76.53,,"806,762.20",88.05,,"871,845.70",95.15,,"911,085.20",99.44,,"907,956.35",99.09,,"915,559.65",99.92
brutus,"2,070,055,492",,"1,293,429,689.95",62.48,,"1,453,345,624.25",70.21,,"1,686,201,763.85",81.46,,"1,933,924,238.85",93.42,,"2,033,249,539.35",98.22,,"2,067,742,007.35",99.89
buildroot,"228,204,016",,"226,060,467.55",99.06,,"226,064,236.00",99.06,,"226,063,965.05",99.06,,"226,064,236.00",99.06,,"228,084,527.60",99.95,,"228,084,566.00",99.95
busybox_1_28_0,"1,295,475,693",,"1,219,704,596.10",94.15,,"1,262,382,195.20",97.45,,"1,273,248,109.55",98.28,,"1,284,516,632.75",99.15,,"1,290,162,984.20",99.59,,"1,293,707,897.90",99.86
calm16_ceb,"1,845,931,912",,"1,158,522,444.20",62.76,,"1,300,650,288.55",70.46,,"1,510,203,410.45",81.81,,"1,730,112,072.75",93.73,,"1,812,336,777.65",98.18,,"1,843,883,357.65",99.89
calm32_ceb,"1,845,931,912",,"1,160,755,754.25",62.88,,"1,303,404,613.55",70.61,,"1,508,131,859.35",81.7,,"1,733,308,668.15",93.9,,"1,811,976,052.10",98.16,,"1,843,861,303.50",99.89
ceb_v850,"1,933,546,623",,"1,192,571,025.10",61.68,,"1,351,337,388.30",69.89,,"1,565,022,002.60",80.94,,"1,803,655,056.50",93.28,,"1,898,060,073.30",98.16,,"1,931,386,510.45",99.89
cerf,"2,383,438,036",,"1,460,065,097.70",61.26,,"1,658,007,528.00",69.56,,"1,916,805,808.15",80.42,,"2,199,526,205.05",92.28,,"2,335,615,568.85",97.99,,"2,380,325,355.45",99.87
cerfpda,"2,470,824,874",,"1,528,489,589.85",61.86,,"1,723,522,706.35",69.75,,"1,990,217,126.85",80.55,,"2,276,814,311.85",92.15,,"2,420,465,444.25",97.96,,"2,467,447,298.00",99.86
cma230,"2,029,926,181",,"1,261,851,796.40",62.16,,"1,423,635,859.75",70.13,,"1,653,081,986.70",81.44,,"1,903,825,596.80",93.79,,"1,993,578,594.30",98.21,,"2,027,620,595.75",99.89
cma28x,"2,002,993,138",,"1,235,487,474.70",61.68,,"1,391,352,206.05",69.46,,"1,625,821,954.00",81.17,,"1,873,481,692.00",93.53,,"1,966,615,135.25",98.18,,"2,000,685,284.90",99.88
cme555,"2,339,087,503",,"1,425,109,557.15",60.93,,"1,585,676,940.60",67.79,,"1,937,901,367.05",82.85,,"2,167,653,452.55",92.67,,"2,294,715,542.55",98.1,,"2,336,266,399.20",99.88
cq7708,"2,162,133,499",,"1,353,629,114.55",62.61,,"1,519,716,253.40",70.29,,"1,754,698,882.30",81.16,,"2,013,463,090.60",93.12,,"2,118,664,075.40",97.99,,"2,159,454,743.85",99.88
cq7750,"2,291,557,328",,"1,409,990,189.65",61.53,,"1,571,863,754.55",68.59,,"1,894,218,765.30",82.66,,"2,169,109,059.40",94.66,,"2,248,808,406.05",98.13,,"2,288,859,756.40",99.88
csb281,"2,204,475,868",,"1,364,787,792.35",61.91,,"1,528,491,451.80",69.34,,"1,779,164,490.50",80.71,,"2,028,556,523.50",92.02,,"2,158,355,263.30",97.91,,"2,201,507,923.75",99.87
dreamcast,"2,246,891,653",,"1,386,053,155.95",61.69,,"1,575,428,467.60",70.12,,"1,805,656,104.05",80.36,,"2,126,105,777.30",94.62,,"2,201,328,111.70",97.97,,"2,244,069,470.90",99.87
e7t,"2,353,621,879",,"1,461,938,971.35",62.11,,"1,629,631,956.50",69.24,,"1,906,052,700.65",80.98,,"2,196,956,099.40",93.34,,"2,306,615,567.80",98,,"2,350,458,210.25",99.87
ea2468,"2,906,114,198",,"1,834,569,155.75",63.13,,"2,026,082,443.30",69.72,,"2,366,927,239.30",81.45,,"2,717,181,167.90",93.5,,"2,853,363,562.80",98.18,,"2,902,590,689.70",99.88
eb40,"2,175,583,569",,"1,368,039,862.10",62.88,,"1,526,029,676.50",70.14,,"1,784,406,699.85",82.02,,"2,040,194,946.25",93.78,,"2,135,474,093.30",98.16,,"2,173,003,579.55",99.88
eb40a,"2,181,032,942",,"1,375,906,338.55",63.09,,"1,529,226,086.15",70.11,,"1,782,948,472.65",81.75,,"2,048,932,294.80",93.94,,"2,140,345,731.00",98.13,,"2,178,407,860.10",99.88
eb42,"2,142,544,959",,"1,348,700,151.50",62.95,,"1,498,511,486.70",69.94,,"1,755,594,732.10",81.94,,"2,007,920,882.15",93.72,,"2,103,899,073.75",98.2,,"2,140,034,801.15",99.88
eb55,"2,324,801,123",,"1,475,294,530.20",63.46,,"1,647,608,200.25",70.87,,"1,912,412,555.90",82.26,,"2,185,172,465.05",93.99,,"2,282,033,456.15",98.16,,"2,321,948,495.25",99.88
ebsa285,"2,269,216,797",,"1,413,185,940.25",62.28,,"1,580,141,086.45",69.63,,"1,831,148,801.85",80.7,,"2,088,928,606.35",92.06,,"2,221,109,726.65",97.88,,"2,266,093,377.80",99.86
ec555,"2,344,769,723",,"1,425,544,469.80",60.8,,"1,586,895,894.45",67.68,,"1,942,582,321.05",82.85,,"2,169,755,848.90",92.54,,"2,300,959,424.35",98.13,,"2,341,984,607.60",99.88
ecos-icse11,"2,250,481,834",,"1,408,766,284.95",62.6,,"1,603,889,147.50",71.27,,"1,827,314,844.50",81.2,,"2,116,980,096.75",94.07,,"2,206,533,610.80",98.05,,"2,247,615,118.85",99.87
edb7xxx,"2,217,276,013",,"1,364,098,058.40",61.52,,"1,525,720,248.95",68.81,,"1,789,719,367.45",80.72,,"2,048,289,961.05",92.38,,"2,173,655,084.05",98.03,,"2,214,498,356.30",99.87
edosk2674,"1,968,494,586",,"1,225,427,162.45",62.25,,"1,401,391,776.75",71.19,,"1,586,286,953.10",80.58,,"1,830,470,666.30",92.99,,"1,930,288,494.05",98.06,,"1,966,150,065.95",99.88
embtoolkit,"11,060,876,800",,"9,240,351,423.85",83.54,,"9,877,771,554.25",89.3,,"9,991,629,683.90",90.33,,"10,584,966,419.35",95.7,,"10,413,762,975.05",94.15,,"10,930,144,185.65",98.82
excalibur_arm9,"2,135,943,435",,"1,291,012,235.50",60.44,,"1,460,666,780.10",68.39,,"1,710,152,227.05",80.07,,"1,988,940,468.90",93.12,,"2,090,489,762.90",97.87,,"2,133,121,141.20",99.87
fads,"1,916,758,219",,"1,192,747,691.40",62.23,,"1,340,799,194.00",69.95,,"1,566,906,391.30",81.75,,"1,794,004,978.60",93.6,,"1,882,324,643.45",98.2,,"1,914,635,240.05",99.89
financial,"332,165,284",,"127,744,048.55",38.46,,"134,351,084.55",40.45,,"175,455,841.25",52.82,,"218,003,249.25",65.63,,"242,243,897.40",72.93,,"325,637,307.20",98.03
