Benchmark,#TotalOC,,Uniform Sampling (k=100),,,Uniform Sampling (k=1000),,,Baital (k=100),,,Baital (k=1000),,,LS-Sampling (k=100),,,LS-Sampling (k=1000),
flexanet,"2,347,318,093",,"1,448,311,094.80",61.7,,"1,634,469,070.55",69.63,,"1,890,155,074.95",80.52,,"2,168,602,554.95",92.39,,"2,299,459,287.70",97.96,,"2,344,146,496.50",99.86
freebsd-icse11,"3,420,415,512",,"2,791,690,245.65",81.62,,"3,086,943,403.45",90.25,,"3,294,770,333.65",96.33,,"3,346,967,546.70",97.85,,"3,319,425,139.65",97.05,,"3,389,883,227.70",99.11
frv400,"2,211,981,203",,"1,370,056,401.40",61.94,,"1,540,452,889.30",69.64,,"1,806,672,413.25",81.68,,"2,077,676,115.80",93.93,,"2,168,532,074.35",98.04,,"2,209,132,113.80",99.87
gps4020,"2,029,602,563",,"1,260,761,043.55",62.12,,"1,420,273,875.95",69.98,,"1,663,277,787.20",81.95,,"1,903,320,230.05",93.78,,"1,992,464,954.90",98.17,,"2,027,198,580.35",99.88
grg,"2,209,697,117",,"1,373,729,603.65",62.17,,"1,555,887,849.10",70.41,,"1,804,954,037.75",81.68,,"2,065,632,203.00",93.48,,"2,167,517,139.70",98.09,,"2,207,024,263.80",99.88
h8300h_sim,"1,876,368,947",,"1,182,948,768.30",63.04,,"1,326,375,082.40",70.69,,"1,540,717,826.80",82.11,,"1,763,142,622.00",93.97,,"1,843,665,160.90",98.26,,"1,874,396,556.10",99.89
h8max,"2,010,140,875",,"1,244,011,106.95",61.89,,"1,425,833,378.05",70.93,,"1,623,082,014.30",80.74,,"1,866,428,649.85",92.85,,"1,970,731,908.30",98.04,,"2,007,690,623.70",99.88
h8s_sim,"1,881,398,986",,"1,190,609,850.40",63.28,,"1,331,190,079.30",70.76,,"1,545,414,496.35",82.14,,"1,766,733,507.70",93.91,,"1,848,366,435.50",98.24,,"1,879,384,799.55",99.89
hs7729pci,"2,532,796,273",,"1,535,332,866.80",60.62,,"1,708,667,998.05",67.46,,"2,026,953,758.60",80.03,,"2,319,863,886.60",91.59,,"2,470,185,973.15",97.53,,"2,528,743,895.15",99.84
innovator,"2,296,462,599",,"1,412,007,594.75",61.49,,"1,586,529,640.50",69.09,,"1,843,877,324.95",80.29,,"2,121,067,876.75",92.36,,"2,242,389,808.90",97.65,,"2,292,956,796.15",99.85
integrator_arm7,"2,303,996,467",,"1,416,731,974.80",61.49,,"1,593,714,086.25",69.17,,"1,878,410,283.75",81.53,,"2,141,873,431.90",92.96,,"2,258,014,241.90",98,,"2,301,086,813.60",99.87
integrator_arm9,"2,353,633,751",,"1,450,654,390.25",61.63,,"1,629,222,696.20",69.22,,"1,918,093,759.65",81.49,,"2,193,392,472.20",93.19,,"2,302,260,345.45",97.82,,"2,350,335,261.85",99.86
ipaq,"2,235,839,669",,"1,397,963,216.20",62.53,,"1,570,768,683.90",70.25,,"1,813,315,354.25",81.1,,"2,083,653,000.90",93.19,,"2,194,594,509.95",98.16,,"2,233,121,671.20",99.88
iq80310,"2,311,296,100",,"1,434,629,324.50",62.07,,"1,615,872,059.65",69.91,,"1,882,647,869.95",81.45,,"2,155,759,180.85",93.27,,"2,267,016,117.10",98.08,,"2,308,368,084.15",99.87
iq80321,"2,299,716,475",,"1,426,598,021.20",62.03,,"1,607,448,886.90",69.9,,"1,883,675,319.25",81.91,,"2,152,862,824.45",93.61,,"2,255,882,571.90",98.09,,"2,296,809,389.70",99.87
ixdp425,"2,243,567,515",,"1,403,243,178.10",62.55,,"1,582,639,717.45",70.54,,"1,841,213,315.90",82.07,,"2,100,769,634.25",93.64,,"2,201,007,600.25",98.1,,"2,240,833,118.55",99.88
jmr3904,"1,969,247,021",,"1,212,977,954.20",61.6,,"1,378,984,317.15",70.03,,"1,608,811,681.45",81.7,,"1,844,089,251.25",93.64,,"1,932,955,706.90",98.16,,"1,966,957,425.55",99.88
jtst,"2,180,990,486",,"1,377,975,156.15",63.18,,"1,527,311,389.00",70.03,,"1,788,058,070.95",81.98,,"2,043,818,669.70",93.71,,"2,140,535,826.15",98.15,,"2,178,366,264.95",99.88
linux,"2,119,674,243",,"1,336,356,327.00",63.05,,"1,511,043,481.25",71.29,,"1,731,278,897.80",81.68,,"1,969,108,398.55",92.9,,"2,076,887,256.25",97.98,,"2,116,958,349.55",99.87
lpcmt,"2,224,443,992",,"1,378,265,407.05",61.96,,"1,541,490,585.50",69.3,,"1,799,735,610.10",80.91,,"2,067,678,826.20",92.95,,"2,183,580,662.75",98.16,,"2,221,946,942.20",99.89
m5272c3,"2,685,369,531",,"1,614,723,682.30",60.13,,"1,879,055,214.05",69.97,,"2,121,644,227.55",79.01,,"2,538,625,648.25",94.54,,"2,632,312,483.35",98.02,,"2,682,218,269.70",99.88
mac7100evb,"2,144,382,899",,"1,349,574,787.95",62.94,,"1,508,183,046.10",70.33,,"1,748,316,326.25",81.53,,"2,009,020,976.70",93.69,,"2,106,087,373.00",98.21,,"2,141,810,286.45",99.88
mace1,"2,144,382,899",,"1,344,502,513.60",62.7,,"1,508,554,978.75",70.35,,"1,751,171,020.35",81.66,,"2,011,716,165.20",93.81,,"2,105,782,922.85",98.2,,"2,141,814,860.25",99.88
malta_mips32_4kc,"2,163,825,724",,"1,322,137,624.05",61.1,,"1,487,704,655.10",68.75,,"1,746,454,520.35",80.71,,"2,005,195,847.20",92.67,,"2,119,646,255.90",97.96,,"2,161,027,290.85",99.87
malta_mips64_5kc,"2,164,003,454",,"1,322,231,851.70",61.1,,"1,491,331,819.10",68.92,,"1,756,176,894.50",81.15,,"2,008,375,522.60",92.81,,"2,119,598,061.75",97.95,,"2,161,196,863.95",99.87
mb93091,"2,270,954,302",,"1,417,864,567.35",62.43,,"1,593,917,617.85",70.19,,"1,874,358,293.20",82.54,,"2,150,103,748.40",94.68,,"2,225,755,747.55",98.01,,"2,267,959,470.30",99.87
mb93093,"2,167,539,695",,"1,342,997,655.00",61.96,,"1,510,672,259.95",69.7,,"1,774,362,882.35",81.86,,"2,050,527,143.20",94.6,,"2,125,013,038.60",98.04,,"2,164,705,285.70",99.87
mbx,"2,536,831,621",,"1,592,186,868.05",62.76,,"1,772,634,407.50",69.88,,"2,042,121,845.35",80.5,,"2,341,944,478.65",92.32,,"2,485,763,909.65",97.99,,"2,533,371,140.30",99.86
mcb2100,"2,224,443,992",,"1,372,649,806.30",61.71,,"1,538,580,992.45",69.17,,"1,802,985,812.65",81.05,,"2,066,539,793.90",92.9,,"2,183,747,445.80",98.17,,"2,221,908,285.20",99.89
moab,"2,427,871,099",,"1,530,876,312.50",63.05,,"1,717,146,825.00",70.73,,"1,968,986,249.65",81.1,,"2,259,234,533.25",93.05,,"2,374,480,203.55",97.8,,"2,424,059,959.60",99.84
mpc50,"2,033,280,572",,"1,273,496,481.15",62.63,,"1,434,275,601.75",70.54,,"1,668,229,762.90",82.05,,"1,913,209,176.10",94.09,,"1,997,735,137.50",98.25,,"2,031,073,284.85",99.89
nano,"2,372,371,616",,"1,466,623,335.95",61.82,,"1,647,929,289.30",69.46,,"1,912,495,666.10",80.62,,"2,185,553,448.20",92.13,,"2,321,198,934.05",97.84,,"2,369,095,758.15",99.86
npwr,"2,312,102,550",,"1,423,303,990.10",61.56,,"1,613,728,288.70",69.79,,"1,890,416,871.05",81.76,,"2,180,486,910.95",94.31,,"2,268,378,607.85",98.11,,"2,309,160,839.90",99.87
ocelot,"2,338,414,562",,"1,454,364,983.15",62.19,,"1,637,901,014.75",70.04,,"1,892,233,022.75",80.92,,"2,175,644,611.75",93.04,,"2,293,530,356.30",98.08,,"2,335,455,040.70",99.87
olpce2294,"2,399,140,512",,"1,475,631,375.30",61.51,,"1,665,703,381.70",69.43,,"1,928,051,249.95",80.36,,"2,210,818,948.00",92.15,,"2,350,296,073.95",97.96,,"2,396,085,980.30",99.87
olpch2294,"2,292,436,998",,"1,425,556,472.95",62.19,,"1,594,630,304.80",69.56,,"1,857,554,479.85",81.03,,"2,132,926,226.05",93.04,,"2,250,723,705.00",98.18,,"2,289,825,710.65",99.89
olpcl2294,"2,393,625,083",,"1,469,068,987.65",61.37,,"1,654,326,232.70",69.11,,"1,919,000,163.20",80.17,,"2,207,964,220.50",92.24,,"2,345,283,551.75",97.98,,"2,390,520,606.60",99.87
p2106,"2,224,443,992",,"1,379,923,443.90",62.03,,"1,538,524,132.15",69.16,,"1,798,061,186.05",80.83,,"2,070,012,898.00",93.06,,"2,184,174,218.00",98.19,,"2,221,967,018.80",99.89
pati,"2,238,542,159",,"1,343,170,210.70",60,,"1,515,438,104.15",67.7,,"1,792,426,104.90",80.07,,"2,055,344,663.20",91.82,,"2,196,671,078.90",98.13,,"2,235,981,891.60",99.89
pc_i82544,"2,328,925,905",,"1,449,963,822.75",62.26,,"1,637,116,950.40",70.29,,"1,891,810,484.55",81.23,,"2,165,283,637.30",92.97,,"2,281,128,643.50",97.95,,"2,325,798,151.35",99.87
pc_i82559,"2,328,925,905",,"1,447,635,899.00",62.16,,"1,633,006,146.50",70.12,,"1,889,060,755.85",81.11,,"2,166,213,023.85",93.01,,"2,281,118,000.85",97.95,,"2,325,716,771.20",99.86
pc_rltk8139,"2,351,352,372",,"1,461,506,781.00",62.16,,"1,648,613,447.90",70.11,,"1,908,464,864.20",81.16,,"2,177,496,707.75",92.61,,"2,300,087,875.00",97.82,,"2,347,920,453.10",99.85
pc_usb_d12,"2,423,516,225",,"1,504,987,218.90",62.1,,"1,716,055,035.35",70.81,,"1,976,820,663.80",81.57,,"2,272,613,291.50",93.77,,"2,378,018,378.00",98.12,,"2,420,421,323.80",99.87
pc_vmWare,"2,308,780,851",,"1,452,050,854.65",62.89,,"1,644,953,366.05",71.25,,"1,879,600,457.25",81.41,,"2,172,346,634.20",94.09,,"2,262,594,596.75",98,,"2,305,707,353.15",99.87
phycore,"2,366,208,638",,"1,499,163,184.05",63.36,,"1,666,302,127.75",70.42,,"1,938,457,404.60",81.92,,"2,166,307,257.85",91.55,,"2,321,830,914.85",98.12,,"2,363,307,053.45",99.88
phycore229x,"2,786,022,872",,"1,718,469,114.10",61.68,,"1,937,122,899.50",69.53,,"2,257,855,397.40",81.04,,"2,578,789,111.20",92.56,,"2,731,415,594.35",98.04,,"2,782,419,398.75",99.87
picasso,"2,227,486,594",,"1,388,532,973.60",62.34,,"1,581,159,055.80",70.98,,"1,816,389,050.15",81.54,,"2,089,797,864.60",93.82,,"2,185,027,592.95",98.09,,"2,224,825,035.45",99.88
pid,"2,109,165,647",,"1,300,112,611.95",61.64,,"1,458,941,704.50",69.17,,"1,717,687,705.85",81.44,,"1,968,086,277.85",93.31,,"2,070,344,384.45",98.16,,"2,106,671,977.25",99.88
prpmc1100,"2,082,469,690",,"1,311,766,564.75",62.99,,"1,471,955,866.45",70.68,,"1,712,000,321.35",82.21,,"1,968,844,775.80",94.54,,"2,045,288,010.85",98.21,,"2,080,124,108.85",99.89
psim,"1,888,769,032",,"1,173,583,451.55",62.13,,"1,321,519,646.90",69.97,,"1,543,622,729.20",81.73,,"1,767,841,721.90",93.6,,"1,855,056,089.65",98.22,,"1,886,708,947.85",99.89
rattler,"2,676,999,306",,"1,670,487,743.30",62.4,,"1,844,407,959.40",68.9,,"2,162,574,490.55",80.78,,"2,483,619,607.40",92.78,,"2,618,891,991.95",97.83,,"2,672,938,075.95",99.85
ref4955,"2,069,226,549",,"1,276,584,969.50",61.69,,"1,438,977,325.45",69.54,,"1,688,599,210.20",81.61,,"1,932,917,632.80",93.41,,"2,031,494,891.80",98.18,,"2,066,776,185.00",99.88
refidt334,"2,379,424,764",,"1,493,392,336.50",62.76,,"1,666,832,893.70",70.05,,"1,933,507,540.50",81.26,,"2,213,310,380.85",93.02,,"2,328,915,115.85",97.88,,"2,376,111,853.55",99.86
sa1100mm,"2,077,907,300",,"1,298,963,752.85",62.51,,"1,456,527,148.90",70.1,,"1,690,102,601.40",81.34,,"1,941,534,841.85",93.44,,"2,041,280,347.15",98.24,,"2,075,538,270.95",99.89
sam7ex256,"2,662,326,906",,"1,657,484,645.65",62.26,,"1,868,003,465.15",70.16,,"2,172,367,622.75",81.6,,"2,515,742,883.70",94.49,,"2,609,940,315.60",98.03,,"2,658,927,863.60",99.87
se7751,"2,488,137,801",,"1,511,235,156.50",60.74,,"1,689,791,285.70",67.91,,"2,013,007,890.95",80.9,,"2,297,491,691.85",92.34,,"2,433,997,934.80",97.82,,"2,484,778,284.90",99.86
sh4_202_md,"2,297,765,722",,"1,380,453,370.30",60.08,,"1,553,257,138.40",67.6,,"1,838,485,055.35",80.01,,"2,143,338,873.70",93.28,,"2,248,307,462.75",97.85,,"2,294,639,614.75",99.86
sh7708,"2,240,180,721",,"1,398,645,994.15",62.43,,"1,572,849,776.00",70.21,,"1,815,483,827.65",81.04,,"2,089,315,059.10",93.27,,"2,193,286,452.95",97.91,,"2,237,321,061.40",99.87
skmb91302,"2,071,479,912",,"1,261,929,712.65",60.92,,"1,422,955,109.15",68.69,,"1,705,187,339.75",82.32,,"1,958,178,562.05",94.53,,"2,032,639,247.55",98.12,,"2,069,015,572.35",99.88
sleb,"1,924,944,955",,"1,192,563,566.30",61.95,,"1,358,334,722.20",70.56,,"1,562,647,891.75",81.18,,"1,797,181,049.30",93.36,,"1,890,841,014.05",98.23,,"1,922,823,246.30",99.89
smdk2410,"2,311,181,062",,"1,407,298,919.20",60.89,,"1,579,601,481.60",68.35,,"1,908,662,683.80",82.58,,"2,177,293,363.05",94.21,,"2,262,089,770.90",97.88,,"2,307,972,350.00",99.86
snds,"2,074,294,853",,"1,295,016,310.85",62.43,,"1,465,024,502.05",70.63,,"1,692,986,196.10",81.62,,"1,955,052,111.15",94.25,,"2,035,740,618.85",98.14,,"2,071,917,182.70",99.89
sparc_erc32,"1,825,893,980",,"1,141,272,913.65",62.5,,"1,290,998,260.15",70.7,,"1,494,706,006.65",81.86,,"1,711,679,496.25",93.74,,"1,793,554,374.25",98.23,,"1,823,928,712.05",99.89
sparc_leon,"1,825,893,980",,"1,148,328,436.00",62.89,,"1,290,233,327.75",70.66,,"1,497,539,447.45",82.02,,"1,715,883,610.95",93.97,,"1,793,470,405.80",98.22,,"1,823,926,659.05",99.89
sparclite_sim,"1,825,893,980",,"1,148,662,158.10",62.91,,"1,289,346,751.45",70.61,,"1,496,807,719.40",81.98,,"1,713,883,280.30",93.87,,"1,793,372,531.25",98.22,,"1,823,919,180.50",99.89
stb,"2,256,761,500",,"1,382,732,951.00",61.27,,"1,539,200,648.85",68.2,,"1,866,646,112.15",82.71,,"2,113,986,130.65",93.67,,"2,213,110,585.55",98.07,,"2,253,963,479.50",99.88
stdeval1,"1,935,362,237",,"1,209,588,382.30",62.5,,"1,359,595,138.05",70.25,,"1,581,523,306.30",81.72,,"1,815,394,037.55",93.8,,"1,899,036,538.70",98.12,,"1,933,025,670.05",99.88
stm3210e_eval,"2,361,789,158",,"1,472,419,981.45",62.34,,"1,661,583,207.30",70.35,,"1,911,584,446.25",80.94,,"2,189,023,099.90",92.68,,"2,319,611,733.90",98.21,,"2,359,072,901.65",99.88
ts1000,"2,554,832,936",,"1,600,128,079.75",62.63,,"1,787,200,277.45",69.95,,"2,061,254,642.50",80.68,,"2,359,248,511.35",92.34,,"2,504,030,726.80",98.01,,"2,551,481,105.50",99.87
ts6,"2,232,203,938",,"1,370,449,169.80",61.39,,"1,544,004,859.60",69.17,,"1,829,787,339.20",81.97,,"2,084,815,097.30",93.4,,"2,187,434,394.10",97.99,,"2,229,312,348.75",99.87
tx39_sim,"1,866,324,923",,"1,169,917,872.05",62.69,,"1,320,775,600.35",70.77,,"1,531,839,398.35",82.08,,"1,750,023,808.55",93.77,,"1,833,650,607.80",98.25,,"1,864,323,750.20",99.89
uClinux,"2,463,084,284",,"2,463,083,812.80",100,,"2,463,084,284.00",100,,"2,463,084,220.80",100,,"2,463,084,284.00",100,,"2,463,084,197.20",100,,"2,463,084,284.00",100
uE250,"2,233,080,660",,"1,377,345,218.40",61.68,,"1,578,615,581.35",70.69,,"1,819,870,224.85",81.5,,"2,096,101,486.35",93.87,,"2,190,798,488.35",98.11,,"2,230,438,977.20",99.88
vads,"2,232,203,938",,"1,375,013,052.50",61.6,,"1,544,342,335.60",69.18,,"1,831,248,367.05",82.04,,"2,078,741,146.60",93.13,,"2,187,066,774.35",97.98,,"2,229,235,896.25",99.87
viper,"2,573,378,491",,"1,603,355,906.25",62.31,,"1,797,275,467.50",69.84,,"2,085,442,790.85",81.04,,"2,389,118,788.65",92.84,,"2,521,687,532.80",97.99,,"2,569,905,789.20",99.87
vrc4373,"2,221,226,554",,"1,406,979,881.95",63.34,,"1,570,396,474.60",70.7,,"1,822,837,244.80",82.06,,"2,031,956,311.55",91.48,,"2,180,868,934.05",98.18,,"2,218,509,381.95",99.88
vrc4375,"2,318,414,527",,"1,454,415,949.80",62.73,,"1,623,340,964.15",70.02,,"1,892,564,130.50",81.63,,"2,125,273,462.00",91.67,,"2,272,265,321.70",98.01,,"2,315,281,359.70",99.86
XSEngine,"2,327,972,654",,"1,444,175,093.30",62.04,,"1,630,063,581.05",70.02,,"1,899,748,518.15",81.61,,"2,168,790,835.60",93.16,,"2,282,763,620.85",98.06,,"2,325,112,888.95",99.88
AVERAGE,,,"1,434,847,389.53",63.19,,"1,605,352,593.10",70.75,,"1,851,984,336.93",81.9,,"2,108,117,282.85",93.34,,"2,206,982,466.32",97.87,,"2,250,716,230.00",99.85
