Benchmark,#TotalOC,,"LS-Sampling (k=100, lambda=10)",,,,"LS-Sampling (k=1000, lambda=10)",,,,"LS-Sampling (k=100, lambda=50)",,,,"LS-Sampling (k=1000, lambda=50)",,,,"LS-Sampling (k=100, lambda=100)",,,,"LS-Sampling (k=1000, lambda=100)",,,,"LS-Sampling (k=100, lambda=500)",,,,"LS-Sampling (k=1000, lambda=500)",,,,"LS-Sampling (k=100, lambda=1000)",,,,"LS-Sampling (k=1000, lambda=1000)",
assabet,"2,285,520,619",,"2,229,432,679.15",97.55,,,"2,280,557,646.25",99.78,,,"2,239,886,959.70",98,,,"2,282,419,023.80",99.86,,,"2,243,282,142.75",98.15,,,"2,282,847,603.70",99.88,,,"2,249,005,569.45",98.4,,,"2,283,197,275.50",99.9,,,"2,250,709,965.20",98.48,,,"2,283,196,455.45",99.9
at91sam7sek,"2,443,618,092",,"2,383,233,836.25",97.53,,,"2,438,602,182.25",99.79,,,"2,395,273,251.35",98.02,,,"2,440,454,126.30",99.87,,,"2,398,722,497.85",98.16,,,"2,440,798,117.35",99.88,,,"2,404,456,596.50",98.4,,,"2,441,140,719.30",99.9,,,"2,406,355,729.70",98.48,,,"2,441,111,098.25",99.9
at91sam7xek,"2,620,295,826",,"2,550,814,001.75",97.35,,,"2,614,559,938.95",99.78,,,"2,564,475,883.70",97.87,,,"2,616,442,098.20",99.85,,,"2,568,076,810.95",98.01,,,"2,616,896,180.50",99.87,,,"2,575,155,852.75",98.28,,,"2,617,346,614.95",99.89,,,"2,577,472,676.30",98.37,,,"2,617,332,790.45",99.89
atlas_mips32_4kc,"2,081,563,953",,"2,025,848,279.50",97.32,,,"2,076,769,248.55",99.77,,,"2,037,268,250.10",97.87,,,"2,078,603,143.15",99.86,,,"2,040,258,657.50",98.02,,,"2,078,916,116.50",99.87,,,"2,045,443,618.05",98.26,,,"2,079,268,295.35",99.89,,,"2,047,370,154.50",98.36,,,"2,079,278,469.10",99.89
atlas_mips64_5kc,"2,044,116,455",,"1,988,669,799.80",97.29,,,"2,039,408,389.55",99.77,,,"1,999,640,912.10",97.82,,,"2,041,134,864.80",99.85,,,"2,002,570,772.70",97.97,,,"2,041,499,539.60",99.87,,,"2,008,644,640.80",98.26,,,"2,041,848,260.00",99.89,,,"2,010,549,704.25",98.36,,,"2,041,884,866.50",99.89
axtls,"916,254",,"906,599.80",98.95,,,"915,655.85",99.93,,,"907,732.25",99.07,,,"915,583.80",99.93,,,"907,956.35",99.09,,,"915,559.65",99.92,,,"907,593.50",99.05,,,"915,594.00",99.93,,,"907,968.90",99.1,,,"915,599.55",99.93
brutus,"2,070,055,492",,"2,019,864,550.95",97.58,,,"2,065,670,759.75",99.79,,,"2,029,873,610.40",98.06,,,"2,067,377,337.00",99.87,,,"2,033,249,539.35",98.22,,,"2,067,742,007.35",99.89,,,"2,038,081,853.50",98.46,,,"2,068,019,405.75",99.9,,,"2,039,448,289.65",98.52,,,"2,068,010,532.85",99.9
buildroot,"228,204,016",,"228,084,526.05",99.95,,,"228,084,566.00",99.95,,,"228,084,525.10",99.95,,,"228,084,566.00",99.95,,,"228,084,527.60",99.95,,,"228,084,566.00",99.95,,,"228,084,529.70",99.95,,,"228,084,566.00",99.95,,,"228,084,526.40",99.95,,,"228,084,566.00",99.95
busybox_1_28_0,"1,295,475,693",,"1,287,239,714.55",99.36,,,"1,292,610,560.45",99.78,,,"1,289,725,323.80",99.56,,,"1,293,267,411.20",99.83,,,"1,290,162,984.20",99.59,,,"1,293,707,897.90",99.86,,,"1,290,974,332.40",99.65,,,"1,293,903,508.70",99.88,,,"1,291,332,257.45",99.68,,,"1,293,923,083.05",99.88
calm16_ceb,"1,845,931,912",,"1,800,055,077.05",97.51,,,"1,841,952,376.70",99.78,,,"1,809,151,966.45",98.01,,,"1,843,562,147.30",99.87,,,"1,812,336,777.65",98.18,,,"1,843,883,357.65",99.89,,,"1,816,894,526.65",98.43,,,"1,844,098,759.65",99.9,,,"1,818,085,345.85",98.49,,,"1,844,114,814.10",99.9
calm32_ceb,"1,845,931,912",,"1,799,523,712.25",97.49,,,"1,842,056,632.60",99.79,,,"1,809,011,795.75",98,,,"1,843,572,929.35",99.87,,,"1,811,976,052.10",98.16,,,"1,843,861,303.50",99.89,,,"1,816,868,602.15",98.43,,,"1,844,093,087.45",99.9,,,"1,818,239,051.15",98.5,,,"1,844,118,755.30",99.9
ceb_v850,"1,933,546,623",,"1,885,055,477.70",97.49,,,"1,929,476,870.15",99.79,,,"1,895,185,714.30",98.02,,,"1,930,978,425.75",99.87,,,"1,898,060,073.30",98.16,,,"1,931,386,510.45",99.89,,,"1,902,945,674.25",98.42,,,"1,931,601,851.45",99.9,,,"1,904,089,927.00",98.48,,,"1,931,584,485.10",99.9
cerf,"2,383,438,036",,"2,319,633,153.20",97.32,,,"2,377,968,398.40",99.77,,,"2,331,549,986.85",97.82,,,"2,379,798,344.45",99.85,,,"2,335,615,568.85",97.99,,,"2,380,325,355.45",99.87,,,"2,341,731,898.90",98.25,,,"2,380,743,900.20",99.89,,,"2,343,368,869.45",98.32,,,"2,380,716,696.35",99.89
cerfpda,"2,470,824,874",,"2,403,509,363.20",97.28,,,"2,464,994,005.25",99.76,,,"2,416,238,413.40",97.79,,,"2,466,979,268.05",99.84,,,"2,420,465,444.25",97.96,,,"2,467,447,298.00",99.86,,,"2,426,941,501.90",98.22,,,"2,467,921,299.85",99.88,,,"2,428,695,361.35",98.29,,,"2,467,953,895.60",99.88
cma230,"2,029,926,181",,"1,980,503,172.60",97.57,,,"2,025,581,024.60",99.79,,,"1,990,710,701.05",98.07,,,"2,027,303,230.65",99.87,,,"1,993,578,594.30",98.21,,,"2,027,620,595.75",99.89,,,"1,998,540,816.80",98.45,,,"2,027,870,905.35",99.9,,,"1,999,579,362.50",98.51,,,"2,027,876,415.55",99.9
cma28x,"2,002,993,138",,"1,953,189,346.55",97.51,,,"1,998,751,662.00",99.79,,,"1,963,791,875.25",98.04,,,"2,000,297,200.80",99.87,,,"1,966,615,135.25",98.18,,,"2,000,685,284.90",99.88,,,"1,971,410,827.65",98.42,,,"2,000,981,200.15",99.9,,,"1,973,090,303.05",98.51,,,"2,000,987,903.05",99.9
cme555,"2,339,087,503",,"2,279,988,135.40",97.47,,,"2,334,068,315.85",99.79,,,"2,291,685,210.60",97.97,,,"2,335,958,546.00",99.87,,,"2,294,715,542.55",98.1,,,"2,336,266,399.20",99.88,,,"2,301,619,772.25",98.4,,,"2,336,686,309.50",99.9,,,"2,303,275,484.10",98.47,,,"2,336,673,770.55",99.9
cq7708,"2,162,133,499",,"2,104,837,545.60",97.35,,,"2,157,615,612.85",99.79,,,"2,114,782,352.95",97.81,,,"2,159,160,285.65",99.86,,,"2,118,664,075.40",97.99,,,"2,159,454,743.85",99.88,,,"2,124,202,135.85",98.25,,,"2,159,668,503.05",99.89,,,"2,126,208,308.05",98.34,,,"2,159,742,479.40",99.89
cq7750,"2,291,557,328",,"2,233,103,483.30",97.45,,,"2,286,865,782.70",99.8,,,"2,245,324,670.30",97.98,,,"2,288,561,615.25",99.87,,,"2,248,808,406.05",98.13,,,"2,288,859,756.40",99.88,,,"2,254,856,558.15",98.4,,,"2,289,175,169.90",99.9,,,"2,256,553,627.20",98.47,,,"2,289,207,064.45",99.9
csb281,"2,204,475,868",,"2,142,886,206.90",97.21,,,"2,199,262,909.75",99.76,,,"2,155,443,653.75",97.78,,,"2,201,085,701.40",99.85,,,"2,158,355,263.30",97.91,,,"2,201,507,923.75",99.87,,,"2,164,553,327.65",98.19,,,"2,201,933,343.10",99.88,,,"2,166,532,726.95",98.28,,,"2,202,017,463.40",99.89
dreamcast,"2,246,891,653",,"2,185,832,443.80",97.28,,,"2,241,848,916.80",99.78,,,"2,197,804,262.30",97.82,,,"2,243,603,822.45",99.85,,,"2,201,328,111.70",97.97,,,"2,244,069,470.90",99.87,,,"2,207,786,452.80",98.26,,,"2,244,370,917.30",99.89,,,"2,209,226,409.25",98.32,,,"2,244,319,318.90",99.89
e7t,"2,353,621,879",,"2,290,498,125.10",97.32,,,"2,348,183,285.65",99.77,,,"2,302,792,782.40",97.84,,,"2,349,851,865.85",99.84,,,"2,306,615,567.80",98,,,"2,350,458,210.25",99.87,,,"2,312,742,014.05",98.26,,,"2,350,907,675.30",99.88,,,"2,314,708,106.25",98.35,,,"2,350,967,895.90",99.89
ea2468,"2,906,114,198",,"2,835,540,923.45",97.57,,,"2,900,069,710.60",99.79,,,"2,849,216,659.75",98.04,,,"2,902,064,533.55",99.86,,,"2,853,363,562.80",98.18,,,"2,902,590,689.70",99.88,,,"2,860,739,304.00",98.44,,,"2,903,025,197.95",99.89,,,"2,863,162,894.30",98.52,,,"2,903,079,537.85",99.9
eb40,"2,175,583,569",,"2,120,808,431.80",97.48,,,"2,170,858,122.20",99.78,,,"2,131,687,328.35",97.98,,,"2,172,629,512.45",99.86,,,"2,135,474,093.30",98.16,,,"2,173,003,579.55",99.88,,,"2,140,911,877.85",98.41,,,"2,173,325,407.10",99.9,,,"2,142,276,622.25",98.47,,,"2,173,308,125.25",99.9
eb40a,"2,181,032,942",,"2,126,685,725.20",97.51,,,"2,176,362,832.05",99.79,,,"2,137,086,726.60",97.99,,,"2,178,081,122.15",99.86,,,"2,140,345,731.00",98.13,,,"2,178,407,860.10",99.88,,,"2,145,989,276.10",98.39,,,"2,178,740,497.30",99.89,,,"2,148,159,285.35",98.49,,,"2,178,774,467.00",99.9
eb42,"2,142,544,959",,"2,089,902,358.05",97.54,,,"2,138,044,013.15",99.79,,,"2,099,985,233.05",98.01,,,"2,139,625,285.30",99.86,,,"2,103,899,073.75",98.2,,,"2,140,034,801.15",99.88,,,"2,109,094,117.30",98.44,,,"2,140,406,064.60",99.9,,,"2,110,994,577.25",98.53,,,"2,140,375,184.15",99.9
eb55,"2,324,801,123",,"2,266,682,512.75",97.5,,,"2,319,737,246.95",99.78,,,"2,278,163,103.75",97.99,,,"2,321,526,228.20",99.86,,,"2,282,033,456.15",98.16,,,"2,321,948,495.25",99.88,,,"2,287,955,411.85",98.42,,,"2,322,386,715.55",99.9,,,"2,289,470,348.10",98.48,,,"2,322,401,853.60",99.9
ebsa285,"2,269,216,797",,"2,205,070,960.30",97.17,,,"2,263,691,435.15",99.76,,,"2,217,277,541.55",97.71,,,"2,265,689,813.50",99.84,,,"2,221,109,726.65",97.88,,,"2,266,093,377.80",99.86,,,"2,227,466,422.70",98.16,,,"2,266,546,806.60",99.88,,,"2,229,255,369.30",98.24,,,"2,266,540,228.10",99.88
ec555,"2,344,769,723",,"2,285,960,899.85",97.49,,,"2,339,807,406.85",99.79,,,"2,297,525,660.00",97.99,,,"2,341,619,983.10",99.87,,,"2,300,959,424.35",98.13,,,"2,341,984,607.60",99.88,,,"2,306,933,803.10",98.39,,,"2,342,369,767.15",99.9,,,"2,308,858,026.45",98.47,,,"2,342,414,785.25",99.9
ecos-icse11,"2,250,481,834",,"2,190,966,543.55",97.36,,,"2,245,346,066.80",99.77,,,"2,203,021,587.30",97.89,,,"2,247,184,942.00",99.85,,,"2,206,533,610.80",98.05,,,"2,247,615,118.85",99.87,,,"2,212,359,236.85",98.31,,,"2,247,955,203.00",99.89,,,"2,214,475,314.35",98.4,,,"2,248,011,911.25",99.89
edb7xxx,"2,217,276,013",,"2,158,589,485.10",97.35,,,"2,212,257,691.55",99.77,,,"2,170,590,834.25",97.89,,,"2,214,125,289.70",99.86,,,"2,173,655,084.05",98.03,,,"2,214,498,356.30",99.87,,,"2,179,645,568.70",98.3,,,"2,214,838,181.50",99.89,,,"2,181,511,863.05",98.39,,,"2,214,873,610.15",99.89
edosk2674,"1,968,494,586",,"1,917,302,120.15",97.4,,,"1,964,201,883.50",99.78,,,"1,928,148,908.70",97.95,,,"1,965,891,899.35",99.87,,,"1,930,288,494.05",98.06,,,"1,966,150,065.95",99.88,,,"1,935,478,860.75",98.32,,,"1,966,444,615.85",99.9,,,"1,936,914,026.10",98.4,,,"1,966,487,795.40",99.9
embtoolkit,"11,060,876,800",,"10,339,827,580.20",93.48,,,"10,883,010,307.85",98.39,,,"10,397,831,605.85",94.01,,,"10,920,066,900.95",98.73,,,"10,413,762,975.05",94.15,,,"10,930,144,185.65",98.82,,,"10,442,935,689.85",94.41,,,"10,943,086,386.90",98.94,,,"10,451,587,240.70",94.49,,,"10,946,157,151.15",98.96
excalibur_arm9,"2,135,943,435",,"2,075,822,266.10",97.19,,,"2,131,101,898.85",99.77,,,"2,087,631,022.30",97.74,,,"2,132,757,355.15",99.85,,,"2,090,489,762.90",97.87,,,"2,133,121,141.20",99.87,,,"2,096,966,490.70",98.18,,,"2,133,349,768.60",99.88,,,"2,098,780,080.35",98.26,,,"2,133,349,823.80",99.88
fads,"1,916,758,219",,"1,870,285,921.80",97.58,,,"1,912,877,087.65",99.8,,,"1,879,191,181.50",98.04,,,"1,914,376,627.20",99.88,,,"1,882,324,643.45",98.2,,,"1,914,635,240.05",99.89,,,"1,886,805,364.00",98.44,,,"1,914,913,852.65",99.9,,,"1,888,568,076.25",98.53,,,"1,914,917,643.65",99.9
financial,"332,165,284",,"239,577,995.55",72.13,,,"322,910,380.70",97.21,,,"241,698,945.85",72.76,,,"325,356,847.35",97.95,,,"242,243,897.40",72.93,,,"325,637,307.20",98.03,,,"243,559,003.15",73.32,,,"326,119,247.00",98.18,,,"244,232,749.65",73.53,,,"326,280,608.20",98.23
flexanet,"2,347,318,093",,"2,282,741,842.85",97.25,,,"2,341,910,887.00",99.77,,,"2,295,721,234.15",97.8,,,"2,343,740,408.75",99.85,,,"2,299,459,287.70",97.96,,,"2,344,146,496.50",99.86,,,"2,305,603,739.15",98.22,,,"2,344,613,013.75",99.88,,,"2,307,619,730.75",98.31,,,"2,344,621,430.35",99.89
freebsd-icse11,"3,420,415,512",,"3,297,000,125.20",96.39,,,"3,382,447,848.05",98.89,,,"3,314,970,894.40",96.92,,,"3,388,261,330.20",99.06,,,"3,319,425,139.65",97.05,,,"3,389,883,227.70",99.11,,,"3,330,896,977.30",97.38,,,"3,394,788,581.05",99.25,,,"3,335,220,901.15",97.51,,,"3,397,256,708.90",99.32
frv400,"2,211,981,203",,"2,152,679,036.10",97.32,,,"2,206,766,132.50",99.76,,,"2,164,132,555.90",97.84,,,"2,208,684,122.35",99.85,,,"2,168,532,074.35",98.04,,,"2,209,132,113.80",99.87,,,"2,174,154,658.35",98.29,,,"2,209,507,058.70",99.89,,,"2,176,016,206.55",98.37,,,"2,209,595,809.50",99.89
gps4020,"2,029,602,563",,"1,978,389,861.65",97.48,,,"2,025,217,192.75",99.78,,,"1,988,938,666.35",98,,,"2,026,809,975.85",99.86,,,"1,992,464,954.90",98.17,,,"2,027,198,580.35",99.88,,,"1,997,350,957.50",98.41,,,"2,027,452,324.60",99.89,,,"1,999,175,335.30",98.5,,,"2,027,525,956.60",99.9
grg,"2,209,697,117",,"2,153,177,329.75",97.44,,,"2,204,851,180.05",99.78,,,"2,164,495,237.80",97.95,,,"2,206,617,244.30",99.86,,,"2,167,517,139.70",98.09,,,"2,207,024,263.80",99.88,,,"2,173,154,441.15",98.35,,,"2,207,434,174.90",99.9,,,"2,174,940,615.20",98.43,,,"2,207,431,240.00",99.9
h8300h_sim,"1,876,368,947",,"1,832,164,860.35",97.64,,,"1,872,574,527.35",99.8,,,"1,841,224,199.25",98.13,,,"1,874,069,155.95",99.88,,,"1,843,665,160.90",98.26,,,"1,874,396,556.10",99.89,,,"1,848,099,456.30",98.49,,,"1,874,660,345.85",99.91,,,"1,849,708,013.10",98.58,,,"1,874,675,774.75",99.91
h8max,"2,010,140,875",,"1,958,029,070.90",97.41,,,"2,005,726,682.00",99.78,,,"1,967,779,759.55",97.89,,,"2,007,381,080.95",99.86,,,"1,970,731,908.30",98.04,,,"2,007,690,623.70",99.88,,,"1,975,651,061.30",98.28,,,"2,008,027,628.20",99.89,,,"1,977,719,551.20",98.39,,,"2,008,049,274.50",99.9
h8s_sim,"1,881,398,986",,"1,837,064,272.25",97.64,,,"1,877,667,128.75",99.8,,,"1,845,995,582.25",98.12,,,"1,879,137,123.40",99.88,,,"1,848,366,435.50",98.24,,,"1,879,384,799.55",99.89,,,"1,852,913,652.45",98.49,,,"1,879,658,338.80",99.91,,,"1,854,204,939.35",98.55,,,"1,879,707,479.90",99.91
hs7729pci,"2,532,796,273",,"2,450,006,570.65",96.73,,,"2,526,262,788.70",99.74,,,"2,465,820,029.10",97.36,,,"2,528,399,608.15",99.83,,,"2,470,185,973.15",97.53,,,"2,528,743,895.15",99.84,,,"2,478,339,023.40",97.85,,,"2,529,138,412.70",99.86,,,"2,481,051,268.00",97.96,,,"2,529,157,196.05",99.86
innovator,"2,296,462,599",,"2,225,794,940.60",96.92,,,"2,290,714,069.75",99.75,,,"2,238,654,183.80",97.48,,,"2,292,429,659.25",99.82,,,"2,242,389,808.90",97.65,,,"2,292,956,796.15",99.85,,,"2,249,308,105.40",97.95,,,"2,293,251,262.40",99.86,,,"2,251,554,418.80",98.04,,,"2,293,295,369.75",99.86
integrator_arm7,"2,303,996,467",,"2,241,508,608.10",97.29,,,"2,298,690,797.80",99.77,,,"2,254,702,117.25",97.86,,,"2,300,560,650.15",99.85,,,"2,258,014,241.90",98,,,"2,301,086,813.60",99.87,,,"2,264,020,470.75",98.26,,,"2,301,526,777.65",99.89,,,"2,265,972,659.20",98.35,,,"2,301,535,540.75",99.89
integrator_arm9,"2,353,633,751",,"2,285,878,258.35",97.12,,,"2,347,874,451.00",99.76,,,"2,297,183,439.30",97.6,,,"2,349,930,273.60",99.84,,,"2,302,260,345.45",97.82,,,"2,350,335,261.85",99.86,,,"2,308,208,493.65",98.07,,,"2,350,703,669.70",99.88,,,"2,310,635,283.05",98.17,,,"2,350,771,072.85",99.88
ipaq,"2,235,839,669",,"2,180,005,352.50",97.5,,,"2,230,917,350.85",99.78,,,"2,190,997,350.80",97.99,,,"2,232,866,995.15",99.87,,,"2,194,594,509.95",98.16,,,"2,233,121,671.20",99.88,,,"2,199,501,605.20",98.37,,,"2,233,480,923.90",99.89,,,"2,201,749,545.75",98.48,,,"2,233,513,628.30",99.9
iq80310,"2,311,296,100",,"2,251,869,604.45",97.43,,,"2,306,141,908.10",99.78,,,"2,263,474,756.65",97.93,,,"2,307,872,220.40",99.85,,,"2,267,016,117.10",98.08,,,"2,308,368,084.15",99.87,,,"2,272,988,108.85",98.34,,,"2,308,780,456.75",99.89,,,"2,274,528,153.50",98.41,,,"2,308,761,227.70",99.89
iq80321,"2,299,716,475",,"2,240,457,271.65",97.42,,,"2,294,430,642.60",99.77,,,"2,252,123,093.25",97.93,,,"2,296,342,610.25",99.85,,,"2,255,882,571.90",98.09,,,"2,296,809,389.70",99.87,,,"2,261,781,801.45",98.35,,,"2,297,184,123.75",99.89,,,"2,262,661,873.25",98.39,,,"2,297,250,468.35",99.89
ixdp425,"2,243,567,515",,"2,186,844,835.35",97.47,,,"2,238,406,894.35",99.77,,,"2,198,044,003.90",97.97,,,"2,240,495,890.60",99.86,,,"2,201,007,600.25",98.1,,,"2,240,833,118.55",99.88,,,"2,206,741,414.25",98.36,,,"2,241,260,711.50",99.9,,,"2,208,383,439.30",98.43,,,"2,241,267,695.35",99.9
jmr3904,"1,969,247,021",,"1,919,882,540.45",97.49,,,"1,965,062,167.80",99.79,,,"1,929,721,610.45",97.99,,,"1,966,570,587.45",99.86,,,"1,932,955,706.90",98.16,,,"1,966,957,425.55",99.88,,,"1,938,233,515.45",98.43,,,"1,967,231,021.90",99.9,,,"1,939,592,881.05",98.49,,,"1,967,218,368.25",99.9
jtst,"2,180,990,486",,"2,126,564,529.05",97.5,,,"2,176,378,418.55",99.79,,,"2,137,210,325.15",97.99,,,"2,177,995,382.30",99.86,,,"2,140,535,826.15",98.15,,,"2,178,366,264.95",99.88,,,"2,145,802,032.65",98.39,,,"2,178,733,152.95",99.9,,,"2,147,199,972.00",98.45,,,"2,178,745,202.90",99.9
linux,"2,119,674,243",,"2,061,832,602.20",97.27,,,"2,114,802,961.00",99.77,,,"2,073,627,080.90",97.83,,,"2,116,606,207.65",99.86,,,"2,076,887,256.25",97.98,,,"2,116,958,349.55",99.87,,,"2,082,309,644.80",98.24,,,"2,117,277,538.65",99.89,,,"2,084,307,727.30",98.33,,,"2,117,325,166.30",99.89
lpcmt,"2,224,443,992",,"2,168,938,939.95",97.5,,,"2,219,875,640.85",99.79,,,"2,180,297,159.15",98.02,,,"2,221,613,917.80",99.87,,,"2,183,580,662.75",98.16,,,"2,221,946,942.20",99.89,,,"2,189,712,985.10",98.44,,,"2,222,207,501.80",99.9,,,"2,190,945,386.15",98.49,,,"2,222,172,893.80",99.9
m5272c3,"2,685,369,531",,"2,614,181,778.00",97.35,,,"2,679,796,192.70",99.79,,,"2,628,312,516.75",97.88,,,"2,681,830,180.65",99.87,,,"2,632,312,483.35",98.02,,,"2,682,218,269.70",99.88,,,"2,640,003,398.20",98.31,,,"2,682,495,906.45",99.89,,,"2,642,124,168.40",98.39,,,"2,682,518,035.00",99.89
mac7100evb,"2,144,382,899",,"2,092,360,056.20",97.57,,,"2,139,866,481.95",99.79,,,"2,102,611,336.95",98.05,,,"2,141,403,530.80",99.86,,,"2,106,087,373.00",98.21,,,"2,141,810,286.45",99.88,,,"2,110,659,756.95",98.43,,,"2,142,150,476.95",99.9,,,"2,112,779,708.10",98.53,,,"2,142,216,918.40",99.9
mace1,"2,144,382,899",,"2,091,454,574.35",97.53,,,"2,139,631,128.45",99.78,,,"2,103,030,776.50",98.07,,,"2,141,402,547.40",99.86,,,"2,105,782,922.85",98.2,,,"2,141,814,860.25",99.88,,,"2,110,806,067.85",98.43,,,"2,142,120,209.35",99.89,,,"2,112,496,608.25",98.51,,,"2,142,171,275.15",99.9
malta_mips32_4kc,"2,163,825,724",,"2,103,892,589.60",97.23,,,"2,158,986,742.55",99.78,,,"2,116,472,733.90",97.81,,,"2,160,700,144.20",99.86,,,"2,119,646,255.90",97.96,,,"2,161,027,290.85",99.87,,,"2,125,145,451.75",98.21,,,"2,161,406,956.40",99.89,,,"2,127,080,458.95",98.3,,,"2,161,446,379.15",99.89
malta_mips64_5kc,"2,164,003,454",,"2,104,691,646.65",97.26,,,"2,158,880,115.85",99.76,,,"2,116,046,334.60",97.78,,,"2,160,768,062.45",99.85,,,"2,119,598,061.75",97.95,,,"2,161,196,863.95",99.87,,,"2,125,688,162.60",98.23,,,"2,161,612,019.20",99.89,,,"2,127,602,195.10",98.32,,,"2,161,651,458.30",99.89
mb93091,"2,270,954,302",,"2,209,887,820.25",97.31,,,"2,265,588,387.40",99.76,,,"2,222,517,411.50",97.87,,,"2,267,457,376.95",99.85,,,"2,225,755,747.55",98.01,,,"2,267,959,470.30",99.87,,,"2,231,853,314.70",98.28,,,"2,268,368,202.05",99.89,,,"2,233,937,789.25",98.37,,,"2,268,436,566.70",99.89
mb93093,"2,167,539,695",,"2,109,689,853.55",97.33,,,"2,162,592,685.40",99.77,,,"2,121,648,628.25",97.88,,,"2,164,354,053.25",99.85,,,"2,125,013,038.60",98.04,,,"2,164,705,285.70",99.87,,,"2,130,784,275.70",98.3,,,"2,165,175,261.75",99.89,,,"2,132,370,028.35",98.38,,,"2,165,202,058.25",99.89
mbx,"2,536,831,621",,"2,467,025,244.65",97.25,,,"2,530,650,649.25",99.76,,,"2,482,005,216.35",97.84,,,"2,532,766,806.95",99.84,,,"2,485,763,909.65",97.99,,,"2,533,371,140.30",99.86,,,"2,493,161,584.75",98.28,,,"2,533,882,675.00",99.88,,,"2,495,244,690.95",98.36,,,"2,533,902,066.45",99.88
