Benchmark,#TotalOC,,"LS-Sampling (k=100, lambda=10)",,,,"LS-Sampling (k=1000, lambda=10)",,,,"LS-Sampling (k=100, lambda=50)",,,,"LS-Sampling (k=1000, lambda=50)",,,,"LS-Sampling (k=100, lambda=100)",,,,"LS-Sampling (k=1000, lambda=100)",,,,"LS-Sampling (k=100, lambda=500)",,,,"LS-Sampling (k=1000, lambda=500)",,,,"LS-Sampling (k=100, lambda=1000)",,,,"LS-Sampling (k=1000, lambda=1000)",
,,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%)
aaed2000,"2,444,568,255",,"2,368,103,881.25",96.87,,,"2,438,178,181.65",99.74,,,"2,383,106,061.40",97.49,,,"2,440,419,574.90",99.83,,,"2,386,577,247.40",97.63,,,"2,440,863,502.50",99.85,,,"2,394,878,025.20",97.97,,,"2,441,164,942.90",99.86,,,"2,397,404,390.95",98.07,,,"2,441,183,360.20",99.86
adder,"2,402,432,536",,"2,338,521,741.15",97.34,,,"2,396,812,736.85",99.77,,,"2,350,930,176.30",97.86,,,"2,398,820,034.15",99.85,,,"2,354,954,074.00",98.02,,,"2,399,347,190.50",99.87,,,"2,360,720,237.90",98.26,,,"2,399,712,632.00",99.89,,,"2,363,181,623.50",98.37,,,"2,399,672,772.35",99.89
adderII,"2,425,797,217",,"2,360,989,624.90",97.33,,,"2,420,465,650.15",99.78,,,"2,374,138,966.10",97.87,,,"2,422,233,036.60",99.85,,,"2,377,725,239.55",98.02,,,"2,422,676,129.40",99.87,,,"2,384,283,250.20",98.29,,,"2,423,048,680.10",99.89,,,"2,386,141,188.60",98.37,,,"2,423,065,708.60",99.89
aeb,"2,034,914,860",,"1,982,584,264.15",97.43,,,"2,030,557,397.60",99.79,,,"1,993,268,398.25",97.95,,,"2,032,104,989.10",99.86,,,"1,995,983,804.00",98.09,,,"2,032,449,604.40",99.88,,,"2,001,397,376.30",98.35,,,"2,032,707,588.75",99.89,,,"2,003,113,782.70",98.44,,,"2,032,703,920.30",99.89
aim711,"2,340,712,354",,"2,278,014,462.35",97.32,,,"2,335,383,292.70",99.77,,,"2,290,061,976.15",97.84,,,"2,337,252,659.90",99.85,,,"2,294,262,967.80",98.02,,,"2,337,627,828.85",99.87,,,"2,300,527,031.65",98.28,,,"2,338,056,731.25",99.89,,,"2,302,473,971.25",98.37,,,"2,337,994,416.85",99.88
aki3068net,"2,036,614,115",,"1,983,540,850.05",97.39,,,"2,032,083,317.15",99.78,,,"1,993,772,051.95",97.9,,,"2,033,897,071.10",99.87,,,"1,997,394,287.25",98.07,,,"2,034,212,816.80",99.88,,,"2,001,879,583.40",98.29,,,"2,034,495,106.90",99.9,,,"2,003,817,161.75",98.39,,,"2,034,532,969.90",99.9
am31_sim,"1,808,691,009",,"1,765,208,324.45",97.6,,,"1,805,002,896.05",99.8,,,"1,774,096,076.25",98.09,,,"1,806,407,785.00",99.87,,,"1,776,759,073.20",98.23,,,"1,806,774,638.10",99.89,,,"1,781,131,620.80",98.48,,,"1,806,975,809.80",99.91,,,"1,782,309,667.20",98.54,,,"1,807,039,526.00",99.91
asb,"2,136,106,174",,"2,082,556,697.05",97.49,,,"2,131,730,282.00",99.8,,,"2,093,554,677.90",98.01,,,"2,133,308,811.70",99.87,,,"2,096,430,327.15",98.14,,,"2,133,604,315.25",99.88,,,"2,101,748,194.25",98.39,,,"2,133,956,511.85",99.9,,,"2,103,744,558.75",98.49,,,"2,134,029,081.10",99.9
asb2305,"2,172,462,086",,"2,118,322,164.65",97.51,,,"2,167,871,051.10",99.79,,,"2,130,214,503.35",98.06,,,"2,169,605,869.50",99.87,,,"2,133,028,460.05",98.18,,,"2,169,960,601.15",99.88,,,"2,138,213,085.15",98.42,,,"2,170,323,605.35",99.9,,,"2,140,275,022.25",98.52,,,"2,170,362,706.35",99.9
